"location";"osm_id";"osm_type";"name";"housenumber";"street";"postcode";"city";"state";"country";"osm_key";"osm_value";"lon";"lat";"msg"
"39100, Bolzano, Italy";"47207";"R";"Bolzano - Bozen";NA;NA;NA;NA;"Trentino-Alto Adige/Südtirol";"Italy";"place";"city";11,3547801;46,4981125;NA
"41058, Vignola, Italy";"46773";"R";"Vignola-Falesina";NA;NA;NA;NA;"Trentino-Alto Adige/Südtirol";"Italy";"place";"municipality";11,2816366;46,0552202;NA
"5020, Salzburg, Austria";"3603738514";"N";"Austria Trend Hotel Salzburg Mitte";"114a";"Münchner Bundesstraße";"5020";"Rott";"Salzburg";"Austria";"tourism";"hotel";13,0051273;47,8292651;NA
"5282, Ranshofen, Austria";"235551767";"N";"Ranshofen";NA;NA;"5282";NA;"Upper Austria";"Austria";"place";"village";13,0148774;48,2351825;NA
"4021, Linz, Austria";"25181326";"N";"Linz";NA;NA;"4010";NA;"Upper Austria";"Austria";"place";"city";14,286198;48,3059078;NA
"94469, Deggendorf, Germany";"959809";"R";"Deggendorf";NA;NA;"94469";NA;"Bavaria";"Germany";"place";"town";12,96205;48,8333535;NA
"4040, Linz, Austria";"925358002";"N";"Eduscho Austria GmbH";"16";"Lindengasse";"4040";"Linz";"Upper Austria";"Austria";"shop";"chemist";14,287912;48,3229246;NA
"6632, Ehrwald, Austria";"121584346";"W";"Appartmenthaus Austria";"13";"Müllerhofweg";"6632";"Ehrwald";"Tyrol";"Austria";"tourism";"chalet";10,9210607495209;47,39937745;NA
"6671, Weißenbach am Lech, Austria";"37829";"R";"Weißenbach am Lech";NA;NA;"6671";NA;"Tyrol";"Austria";"place";"village";10,6415183;47,4415816;NA
"4020, Linz, Austria";"35956109";"W";"Rail Cargo Austria - Logistik Center Linz";"11-17";"Turmstraße";"4020";"Linz";"Upper Austria";"Austria";"man_made";"works";14,3151684948887;48,2790109;NA
"87527, Sonthofen, Germany";"4418226817";"N";"Sonthofen";NA;"C";"87527";"Sonthofen";"Bavaria";"Germany";"railway";"station";10,2721524;47,5134055;NA
"4780, Schärding am Inn, Austria";"660038";"R";"Wernstein am Inn";NA;NA;"4783";NA;"Upper Austria";"Austria";"boundary";"administrative";13,4836910488038;48,5049827;NA
"94032, Passau, Germany";"240057351";"N";"Passau";NA;NA;"94032";"Passau";"Bavaria";"Germany";"place";"town";13,4609744;48,5748229;NA
"87437, Kempten, Germany";"240126519";"N";"Kempten (Allgäu)";NA;NA;"87435";"Kempten (Allgäu)";"Bavaria";"Germany";"place";"town";10,3168835;47,7267063;NA
"6330, Kufstein, Austria";"225091070";"W";"Riedel Glas Austria";NA;NA;"6330";"Kufstein";"Tyrol";"Austria";"landuse";"industrial";12,1631059102485;47,574621;NA
"82467, Garmisch-Partenkirchen, Germany";"13927006";"N";"Garmisch-Partenkirchen";NA;"Bahnhofstraße";"82467";"Garmisch-Partenkirchen";"Bavaria";"Germany";"railway";"station";11,0970176;47,4915407;NA
"5440, Golling, Austria";"142407498";"W";"Burg Golling";"1";"Markt";"5440";"Golling an der Salzach";"Salzburg";"Austria";"tourism";"museum";13,1668755444782;47,5972197;NA
"9021, Győr, Hungary";"1440627";"R";"Győr";NA;NA;NA;NA;"Transdanubia";"Hungary";"place";"city";17,6346815;47,687609;NA
"LV–1539, Riga, Latvia";"38247112";"W";"Arēna Rīga";"21";"Skanstes iela";"LV-1013";"Riga";"Vidzeme";"Latvia";"leisure";"stadium";24,1212654274433;56,96785725;NA
