iso_a2;name_long;continent;region_un;subregion;type;area_km2;pop;lifeExp;gdpPercap;LocGovType_HorizontalPwrRelation;LocGovType_VerticalPwrRelation;LocGovType_PoliticalLeadership;LocGovTyp_EasternEurope;LocGovType_MunicipalAdmin;LAI14;LAI10;LAI00;LAI90;MeanLAI_9014
AL;Albania;Europe;Europe;Southern Europe;Sovereign country;29694,80029;2889104;77,963;10701,12079;Strong Mayor Form;OutsideTypology;OutsideTypology;Type3;South Eastern European;18,17;18,17;9,5;;15,28
AT;Austria;Europe;Europe;Western Europe;Sovereign country;85064,89516;8546356;81,4902439;44320,50201;Strong Mayor Form;North-Middle European Group;Executive Mayors;OutsideTypology;Continental European Federal;25,17;24,99;24,71;24,75;24,905
BY;Belarus;Europe;Europe;Eastern Europe;Sovereign country;208969,8297;9474511;72,97073171;17944,20985;OutsideTypology;OutsideTypology;OutsideTypology;OutsideTypology;OutsideTypology;;;;;
BE;Belgium;Europe;Europe;Western Europe;Sovereign country;30126,03789;11209057;81,28780488;41360,39558;Collective Form;FrancoType;Collegial Leaders;OutsideTypology;Continental European Napoleonic;21,79;21,8;21;19;20,8975
BA;Bosnia and Herzegovina;Europe;Europe;Southern Europe;Sovereign country;50605,07485;3566002;76,561;10516,78644;OutsideTypology;OutsideTypology;OutsideTypology;OutsideTypology;OutsideTypology;;;;;
BG;Bulgaria;Europe;Europe;Eastern Europe;Sovereign country;110216,8751;7223938;74,46585366;16302,32056;OutsideTypology;OutsideTypology;OutsideTypology;Type3;OutsideTypology;23,5;23;22;6,67;18,7925
HR;Croatia;Europe;Europe;Southern Europe;Sovereign country;57530,85175;4238389;77,47804878;20334,44647;Strong Mayor Form;OutsideTypology;OutsideTypology;Type3;South Eastern European;20,7;19,92;16,84;16,17;18,4075
CY;Cyprus;Asia;Asia;Western Asia;Sovereign country;6207,006;1152309;80,173;29786.3657;Strong Mayor Form;OutsideTypology;OutsideTypology;OutsideTypology;Anglo Saxon;15,73;15,74;15,76;13,89;15,28
CZ;Czech Republic;Europe;Europe;Eastern Europe;Sovereign country;81207,60293;10525347;78,82439024;29119,61661;Collective Form;East-Central European Group;Collegial Leaders;Type2;Central Eastern European;24,67;23,67;25,67;19,17;23,295
DK;Denmark;Europe;Europe;Northern Europe;Sovereign country;42759,9277;5643475;80,7;45057,07417;Committee Leader Form;North-Middle European Group;Collegial Leaders;OutsideTypology;Nordic;27;27;27,67;27,67;27,335
EE;Estonia;Europe;Europe;Northern Europe;Sovereign country;44678,19681;1314545;77,03414634;27113,68592;OutsideTypology;OutsideTypology;OutsideTypology;Type2;OutsideTypology;23;23,17;26,17;23,33;23,9175
FI;Finland;Europe;Europe;Northern Europe;Sovereign country;341242,3389;5461512;81,1804878;39017,53721;OutsideTypology;OutsideTypology;OutsideTypology;OutsideTypology;OutsideTypology;29,33;29,33;29,33;27,67;28,915
FR;France;Europe;Europe;Western Europe;Sovereign country;644847,8823;66316100;82,22;41343;Strong Mayor Form;FrancoType;Political Mayors;OutsideTypology;Continental European Napoleonic;25,64;25,64;24,64;24,64;25,14
