Sources;Years;Matrix level;Matrix column;Main Key-word;Additional Key-Word;Pages Vol 3;Name;Acronym;Code;Country (secretariat);Type 1;Type 2;commentaire;Manager/Secretariat/;Adresse;E-mail;Telephone;Url;Date;Aims;Activities;Members;Priorité;Mail;Date;;MAJ2019
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;Alliance of European Cultural Cities;AVEC;00535;FR;D;;AVEC, peu de petites villes;Amandine Lacoste;Rue Marie d'Arles, BP 196, 13637, Arles, France;amandine@avecnet.net;06 78 41 92 37;http://www.avecnet.net/;1997;Position local heritage as a motor for sustainable development, give international visibility to the network, integrate innovation into existing structure as harmoniously as possible, contribute to economic success of member cities and territories;;Cities;Forte;Date d'adhésion;;;
Vol.3;2014-2015;6;7;Value Redistribution;Cooperative;959-961;European Textile Collectivities Association;ACTE;01903;ES;D;;ACTE;Pere Navarro;Terrassa, Spain;acte.executivesecretariat@terrassa.cat;;http://www.acte.net/;1991;"Represent the interests and needs of member territories to the European Union and national institutions ; tighten institutional collaboration ties and promote exchange of experiences between members in areas such as economic cooperation, employment, training, culture and development cooperation, promote innovative policies to anticipate and manage structural changes of the sector at local and regional levels";"Lobbying Actions; preparation and management of joint projects ; awareness raising actions, including international conference";Local and regional authorities;Forte;Date d'adhésion;;30-mai-16;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;Association of European Cities and Regions for Culture;LIKE;01963;FR;D;;Les Rencontres/ Site inactif. Transformation du réseau : nouveau nom LIKE;Roger Tropéano;8 villa d'Alesia, 75015, Paris, France;info@lesrencontres.eu;01 56 54 26 38;"http://www.lesrencontres.eu/  ; http://www.likeculture.eu/reseau.html";1994;"Promote awareness of the essential role played by elected local government officials in charge of culture ;  encourage contacts among these officials throughout Europe, at national, bi-lateral, multilateral and regional level ; make elected officials mor aware of cultural problems and European issues ; promote exchange of information among them ; establish common approaches and common proposals to put forward to national governments and international institutions in Europe and beyond.";conferences, seminars. Initiates regional training programmes for elected officials in target areas throughout Europe. Favours the setting up of concrete projects and circulation of art works among cities and regions. Established green and white papers on cultural policies of cities and regions of Europe;Local and regional authorities;Forte;Membre/ Date d'adhésion/ Activité;;;
Vol.3;2014-2015;3;7;Government;Municipalities;414-415;International Association of Mayors and Officials from Capitals and Metropolises partially or entirely French-Speaking;AIMF;02164;FR;C;;AIMF. Ancrage mondial/ internationa. Association internationale des maires et responsables des capitales et métropoles partiellement ou entièrement francophonel;Pierre Baillet;9 rue des Halles, 75001 Paris,France;sp@aimf.asso.fr;01 44 88 22 88;www.aimf.asso.fr;1979;Through use of the French language, promote solidarity between municipalities by a greater exchange of information and experience and collaboration in municipal activities;"reinforcement of urban capacities ; support population ; civil registries; local finance ; water ; education ; AIDS ; health ; sustainable development ; local governance ; decentralized cooperation ; Organizes pilot projects ; cooperative activities with member towns and working groups.";Cities and associations of local governments;Forte;;;;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;International Association of Peace Messenger Cities;IAMPC;02194;SI;C;;Lié à l'ONU / Sur le site Villes membres et dates d'adhésion. Association internationale des villes messagères de la paix;Mayor Andrej Cas;Slovenj Gradec, Slovenia;president@iapmc.org;(1 203) 387 0370;http://www.iapmc.org/;1990;"Facilitate understanding among peoples ; allow them to demonstrate their solidarity; propagate a spirit of peace, tolerance and mutual respect ; combat war, hunger and natural disasters so as to serve mankind in dignity and respect ; make governments aware of the prime necessity for nuclar disarmament and of the importane of human rights, liverty and freedom of individual movement.";"Mainly in following fields : education ; youth ; culture ; sport and leisure ; protection of environment ; quality of life.";Membership open to cities designated by the United Nations as messengers of peace.;Forte;;;;
Vol.3;2014-2015;2;1;Society;Local;884-885;Association of the Local Democracy Agencies;ALDA;02221;FR;D;;ALDA. Conseil de l'Europe;Antonella Volmorbida;Avenue de l'Europe, 67075 Strasbourg, France;alda@aldaintranet.org;(39 335) 523 63 41;http://www.alda-europe.eu/newSite/;1999;"Coordinate the overall activities of the 12 Local Democracy Agencies in South East Europe and the Caucasus ; promote democracy at local level ; foster institution building at local level through best practices exchanges with partners from all over Europe and training of local elected representatives as well as administrators ; develop a Europe-wide network of citizens committed to the respect of human and minority rights ; foster development of an inclusive civil society ; promote intercultural dialogue ; foster sustainable development.";"Seminars ; conferences ; youth exchanges ; training of trainers ; training for local authorities and NGOs ; study visits";Local and regional authorities / international and national association of local authorities;Forte; Date d'adhésion;30-mai-16;;
Vol.3;2014-2015;2;4;Amenities;Urban;71-72;Iberoamaricano Strategic Urban Development Centre;CIDEU;03083;ES;E;;CIDEU.Centro Iberoamaricano de Desarrollo Estrategico Urbano;Maravillas Rojo;Barcelona, Spain;secretaria@cideu.org;;http://www.cideu.org/;1993;Promote use of strategic planning methods in urban development;Organizes mettings and training courses;Cities;Forte;;30-mai-16;;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;Cittaslow;Cittaslow;03210;IT;F;;;;Orvieto, Italy;info@cittaslow.net;;www.cittaslow.org;1999;Promote and spread the culture of good living through research, testing, and application of solutions for the city organizations;;Cities;Forte;Date d'adhésion;24-mai-16;;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;CIVITAS;CIVITAS;03220;HU;E;;Représentant à Brussels/ Liens avec l'EU;Vincent Leiner;Szentendre, Hungary;vincent.leiner@ec.europa.eu;;http://www.civitas.eu/;2002;"Promote and implement sustainable, clean and (energy) efficient urbantransport measures ; implement integrated packages of technology and policy measures in the field of energy and transport ; build up a critical mass and markets for innovation";"Grants ""CIVITAS Award"" ; provides a platform for the exchange of ideas and experiences between all the participating CIVITAS demonstration cities and other cities that are committed to introduce ambitious, clean urban transport strategies";Cities;Forte;Date d'adhésion;30-mai-16;;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;Climate Alliance;Climate Alliance;03241;DE;F;;1600 municipalités européenne (liste des membres disponible sur le site);Joachim Lorenz;Frankfurt, Germany;europe@climatealliance.org;(49 69) 7171 390;http://www.climatealliance.org/;1992;"As member cities and municipalities which have entered into a partnership with indigenous rainforest people to protect climate : cut CO2 emissions by 10 percent every 5 years ; halve per capita emissions (baseline 1990) by 2030 ; attain a sustainable level of 2.5 tons CO2 equivalent emissions per capita and year by energy saving, energy efficiency and the use of renewable energy sources ; cooperate with indegenous peoples to achieve their basic rights and to protect rainforests and conserve their biological diversity";"Ensure exchange of experience ; showcases best pratice ; advises members in the field of energy, urban planning and transport ; developing a systematic approach to local climate protection ; support implementation of municipal climate protection programmes in the areas of energy, transport, urban planning, procurement ; waste ; agriculture ; foresty and adaptation to climate change ; design and offers campaigns and awareness raising actions ; represents the interests of local authorities committed to climate protection at EU and international levels";Municipalities;Forte;Date d'adhésion;30-mai-16;;
