"Full_Name";"Locality_Siege";"CountryCode";"Continent";"Region";"Y";"X";"Pop_collect";"Statut";"Entity";"Year_of_Joining";"Note";"Network_Name";"Code_Network";"EntitySimplified";"CountryName";"MembershipCode";"Adress";"lon";"lat"
"Agglomération Hérault Méditerranée";"Saint Thibéry";"FR";"Europe";"Western Europe";"43.397778";"3.4175";NA;"Full Member";"Intermunicipal Authority";NA;NA;"AVEC";"00535";"Intermunicipality";"France";"A1";"Saint Thibéry, France";3,412055;43,39864
"Aix en Provence";"Aix en Provence";"FR";"Europe";"Western Europe";"43.529742";"5.4474270000000615";NA;"Full Member";"Municipal Authority";NA;NA;"AVEC";"00535";"Municipality";"France";"A2";"Aix en Provence, France";5,447427;43,529742
"Anderlecht";"Anderlecht";"BE";"Europe";"Western Europe";"50.8365808";"4.308186999999975";NA;"Full Member";"Municipal Authority";NA;NA;"AVEC";"00535";"Municipality";"Belgium";"A3";"Anderlecht, Belgium";4,308187;50,8365808
"Arad";"Arad";"RO";"Europe";"Eastern Europe";"46.1865606";"21.312267700000007";NA;"Full Member";"Municipal Authority";NA;NA;"AVEC";"00535";"Municipality";"Romania";"A4";"Arad, Romania";21,3122677;46,1865606
"Arles";"Arles";"FR";"Europe";"Western Europe";"43.676647";"4.627776899999958";NA;"Full Member";"Municipal Authority";NA;NA;"AVEC";"00535";"Municipality";"France";"A5";"Arles, France";4,6277769;43,676647
"Baeza";"Baeza";"ES";"Europe";"Southern Europe";"37.9966884";"-3.4676157000000103";NA;"Full Member";"Municipal Authority";NA;NA;"AVEC";"00535";"Municipality";"Spain";"A6";"Baeza, Spain";-3,4676157;37,9966884
"Bastia";"Bastia";"FR";"Europe";"Western Europe";"42.697283";"9.450880999999981";NA;"Full Member";"Municipal Authority";NA;NA;"AVEC";"00535";"Municipality";"France";"A7";"Bastia, France";9,450881;42,697283
"Birgu";"Birgu";"MT";"Europe";"Southern Europe";"35.8879214";"14.522561999999994";NA;"Full Member";"Municipal Authority";NA;NA;"AVEC";"00535";"Municipality";"Malta";"A8";"Birgu, Malta";14,522562;35,8879214
"Brasov";"Brasov";"RO";"Europe";"Eastern Europe";"45.6579755";"25.601197700000057";NA;"Full Member";"Municipal Authority";NA;NA;"AVEC";"00535";"Municipality";"Romania";"A9";"Brasov, Romania";25,6011977;45,6579755
"Evora";"Evora";"PT";"Europe";"Southern Europe";"38.571431";"-7.913501999999994";NA;"Full Member";"Municipal Authority";NA;NA;"AVEC";"00535";"Municipality";"Portugal";"A10";"Evora, Portugal";-7,913502;38,571431
"Idanha-a-Nova";"Idanha-a-Nova";"PT";"Europe";"Southern Europe";"39.924752";"-7.241589500000032";NA;"Full Member";"Municipal Authority";NA;NA;"AVEC";"00535";"Municipality";"Portugal";"A11";"Idanha-a-Nova, Portugal";-7,2005806;39,9013925
"Isla";"Isla";"MT";"Europe";"Southern Europe";"35.8873041";"14.5167371";NA;"Full Member";"Municipal Authority";NA;NA;"AVEC";"00535";"Municipality";"Malta";"A12";"Isla, Malta";14,5167371;35,8873041
"Mediana";"Nis";"RS";"Europe";"Southern Europe";"43.310278";" 21.948889";NA;"Full Member";"Intermediary Municipal authority";NA;"Municipalité de Nis";"AVEC";"00535";"Municipality";"Serbia";"A13";"Nis, Serbia";21,8957589;43,3209022
"Melilla";"Melilla";"ES";"Europe";"Southern Europe";"35.2922775";"-2.9380972999999813";NA;"Full Member";"Municipal Authority";NA;NA;"AVEC";"00535";"Municipality";"Spain";"A14";"Melilla, Spain";-2,9380973;35,2922775
"Mertola";"Mertola";"PT";"Europe";"Southern Europe";"37.6415148";"-7.660666499999934";NA;"Full Member";"Municipal Authority";NA;NA;"AVEC";"00535";"Municipality";"Portugal";"A15";"Mertola, Portugal";-7,6606665;37,6415148
"Nimes";"Nimes";"FR";"Europe";"Western Europe";"43.836699";"4.360053999999991";NA;"Full Member";"Municipal Authority";NA;NA;"AVEC";"00535";"Municipality";"France";"A16";"Nimes, France";4,360054;43,836699
"Nis";"Nis";"RS";"Europe";"Southern Europe";"43.3247";"21.9033";NA;"Full Member";"Municipal Authority";NA;NA;"AVEC";"00535";"Municipality";"Serbia";"A17";"Nis, Serbia";21,8957589;43,3209022
"Osijek";"Osijek";"CR";"Americas";"Central America";"45.560219";"18.670406";NA;"Full Member";"Municipal Authority";NA;NA;"AVEC";"00535";"Municipality";"Costa Rica";"A18";"Osijek, Costa Rica";18,6955144;45,5549624
"Ourense";"Ourense";"ES";"Europe";"Southern Europe";"42.33578929999999";"-7.863880999999992";NA;"Full Member";"Municipal Authority";NA;NA;"AVEC";"00535";"Municipality";"Spain";"A19";"Ourense, Spain";-7,863881;42,3357893
"Ragusa";"Ragusa";"IT";"Europe";"Southern Europe";"36.9269273";"14.725512900000012";NA;"Full Member";"Municipal Authority";NA;NA;"AVEC";"00535";"Municipality";"Italy";"A20";"Ragusa, Italy";14,7255129;36,9269273
"Rennes";"Rennes";"FR";"Europe";"Western Europe";"48.117266";"-1.6777925999999752";NA;"Full Member";"Municipal Authority";NA;NA;"AVEC";"00535";"Municipality";"France";"A21";"Rennes, France";-1,6777926;48,117266
"Santarem";"Santarem";"PT";"Europe";"Southern Europe";"39.2366618";"-8.68601190000004";NA;"Full Member";"Municipal Authority";NA;NA;"AVEC";"00535";"Municipality";"Portugal";"A22";"Santarem, Portugal";-8,704075;39,2848804
"Segovie";"Segovie";"ES";"Europe";"Southern Europe";"40.9429032";"-4.1088068999999905";NA;"Full Member";"Municipal Authority";NA;NA;"AVEC";"00535";"Municipality";"Spain";"A23";"Segovie, Spain";-4,1088069;40,9429032
"Sliven";"Sliven";"BG";"Europe";"Eastern Europe";"42.6816536";"26.322868500000027";NA;"Full Member";"Municipal Authority";NA;NA;"AVEC";"00535";"Municipality";"Bulgaria";"A24";"Sliven, Bulgaria";26,3228685;42,6816536
"Szombathely";"Szombathely";"HU";"Europe";"Eastern Europe";"47.2306851";"16.621844099999976";NA;"Full Member";"Municipal Authority";NA;NA;"AVEC";"00535";"Municipality";"Hungary";"A25";"Szombathely, Hungary";16,6218441;47,2306851
"Tavira";"Tavira";"PT";"Europe";"Southern Europe";"37.1335906";"-7.643001899999945";NA;"Full Member";"Municipal Authority";NA;NA;"AVEC";"00535";"Municipality";"Portugal";"A26";"Tavira, Portugal";-7,6430019;37,1335906
"Tours";"Tours";"FR";"Europe";"Western Europe";"47.394144";"0.6848400000000083";NA;"Full Member";"Municipal Authority";NA;NA;"AVEC";"00535";"Municipality";"France";"A27";"Tours, France";0,68484;47,394144
"Vienne";"Vienne";"FR";"Europe";"Western Europe";"45.525587";"4.874338999999964";NA;"Full Member";"Municipal Authority";NA;NA;"AVEC";"00535";"Municipality";"France";"A28";"Vienne, France";4,874339;45,525587
"Intercommunal Development Agency (Tournai) ";"Tournai";"BE";"Europe";"Western Europe";"50.6";"3.383";NA;"Effective Member";"Intermunicipality";NA;NA;"ACTE";"01903";"Intermunicipality";"Belgium";"A29";"Tournai, Belgium";3,3879338;50,6056475
"Intercommunal Council - Belgium Vice-Presidency of ACTE (Mouscron) ";"Mouscron";"BE";"Europe";"Western Europe";"50.7459126";"3.2192906999999877";NA;"Effective Member";"Intermunicipality";NA;NA;"ACTE";"01903";"Intermunicipality";"Belgium";"A30";"Mouscron, Belgium";3,2192907;50,7459126
"Renaix/Ronse";"Ronse";"BE";"Europe";"Western Europe";"50.7505367";"3.6005095000000438";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Belgium";"A31";"Ronse, Belgium";3,6005095;50,7505367
"Grad Krapina";"Krapina";"HR";"Europe";"Southern Europe";"46.166667";"15.883333";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Croatia";"A32";"Krapina, Croatia";15,8724103;46,160492
"Grad Varazdin";"Varazdin";"HR";"Europe";"Southern Europe";"45.8149649";"16.134495199999947";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Croatia";"A33";"Varazdin, Croatia";16,3366066;46,305746
"Conseil Général des Vosges (Épinal) ";"Épinal";"FR";"Europe";"Western Europe";"48.172402";"6.449402999999961";NA;"Effective Member";"Regional Authorities";NA;NA;"ACTE";"01903";"Region";"France";"A34";"Épinal, France";6,449403;48,172402
"Conseil Régional Nord Pas de Calais (Lille) ";"Lille";"FR";"Europe";"Western Europe";"50.62925";"3.057256000000052";NA;"Effective Member";"Regional Authorities";NA;NA;"ACTE";"01903";"Region";"France";"A35";"Lille, France";3,057256;50,62925
"Le Grand Roanne, Communauté d'Agglomération";"Roanne";"FR";"Europe";"Western Europe";"46.034432";"4.072695000000067";NA;"Effective Member";"Intermunicipality";NA;NA;"ACTE";"01903";"Intermunicipality";"France";"A36";"Roanne, France";4,072695;46,034432
"Lille Métropole Communauté Urbaine (Lille) ";"Lille";"FR";"Europe";"Western Europe";"50.62925";"3.057256000000052";NA;"Effective Member";"Intermunicipality";NA;NA;"ACTE";"01903";"Intermunicipality";"France";"A37";"Lille, France";3,057256;50,62925
"Calais";"Calais";"FR";"Europe";"Western Europe";"50.95129000000001";"1.8586860000000343";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"France";"A38";"Calais, France";1,858686;50,95129
