fcodeName;adminLevel
;other
abandoned populated place;other
capital of a political entity;capital of a political entity
field(s);other
historical capital of a political entity;other
historical populated place;other
populated locality;populated place
populated place;populated place
populated places;populated place
religious populated place;populated place
seat of a first-order administrative division;seat of a first-order admin. division
seat of a second-order administrative division;seat of a second-order admin. division
seat of a third-order administrative division;seat of other admin. division
seat of a fourth-order administrative division;seat of other admin. division
seat of government of a political entity;seat of government of a political entity
section of populated place;populated place
