"Network_Name";"Code_Network";"Ncities";"KPOP1";"KPOP2";"KPOP3";"KPOP4";"Ncountry";"primacy_index";"cvPop";"bb_areaKM2";"X_mean";"Y_mean";"X_med";"Y_med";"meanDist";"medDist";"cvDist";"ch_areaKM2";"ch_r_areaKM2"
"ACRplus";"01901";47;30;23;21;36;15;2,32;2,01;6520882;3824599,76329763;2602166,99272214;3812776,02669356;2726973,73721567;148638;113628;1,04;4798833;2191
"ACTE";"01903";45;62;22;18;7;9;1;2,34;5179550;4055485,08569009;2436487,14591463;4139449,52359592;2417480,08128398;56581;17361;2,19;2825523;1681
"AIMF";"02164";236;28;30;14;28;54;1,01;2,19;342664715;4125884,58506509;96413,7436375603;3610785,99615244;-648776,149886777;201250;92177;2,61;224141159;14971
"AIVP";"09763";27;11;22;15;67;8;1,47;1,08;41854335;3139519,66400825;2535590,77210582;3443057,24733834;2392414,36610338;247302;104424;2,72;12431568;3526
"ALDA";"02221";49;55;29;12;4;20;1,26;1,3;8295022;4772748,98420014;2460144,8828459;4708984,7928035;2453311,62078152;168472;88081;1,43;4907749;2215
"AMPHICTYONY";"04433";36;92;8;0;3;4;9,22;3,37;1733302;5623579,64283068;1804775,08929131;5529096,21787158;1768737,29786073;74495;10585;2,74;982811;991
"AVEC";"00535";27;44;41;19;0;11;1,1;1,01;4868256;3992266,09805915;2197593,6986143;3887332,01194413;2300837,18597177;167629;168171;0,77;3414301;1848
"BaltMet";"W5";10;0;0;0;100;9;1,47;1,06;1058378;4948710,25764911;3836667,75743877;5028040,86378009;3893112,14223847;287084;322099;0,42;751990;867
"C40";"02723";92;2;2;0;96;49;1,51;1;389211503;5109317,77318171;3694037,99794801;4771658,58681852;3252039,90588752;562962;437215;1,05;267142456;16344
"CAAC";"03755";18;17;39;33;11;3;1,36;0,82;3585661;3097602,42938866;2408719,89056473;3151777,23936291;2452680,40620731;177330;123896;1,45;738099;859
"CIDEU";"03083";121;20;20;14;50;21;1,06;2,12;110837092;-2698884,73242763;2343582,9704473;-3307910,67694154;2705469,99533549;159567;96480;1,36;64102513;8006
"CITELEC";"04886";19;16;32;21;42;10;1,22;1,07;21605511;3781530,34869759;3096385,19890097;3946068,98752789;3044421,8528993;400797;121387;3,01;6436700;2537
"Cittaslow";"03210";212;100;0;0;0;28;1,14;1,28;229144352;5091794,32484287;3397522,14817492;4448091,31140919;2573701,40714162;162511;41805;3,19;156338513;12504
"CIVITAS";"03220";248;20;31;21;35;39;1;2,44;77864078;4270864,95751145;2735176,77235609;4387072,30927056;2694246,12350577;98150;57958;2,03;33522587;5790
"Climate Alliance";"03241";1675;91;8;3;2;26;1;4,87;10153209;4511898,15141843;2833581,86756082;4591244,0590615;2793227,79675777;10845;4651;4,19;5630926;2373
"CLIP";"06609";28;7;7;21;64;19;5,92;2,21;7956740;4223733,42415665;2790642,90951095;4164087,92455878;2938342,10616022;195232;147277;0,9;5205295;2282
"CNFE";"W2";32;12;28;16;44;12;1,34;1,07;10040537;4529027,40290503;2659127,55354525;4290311,40865253;2873874,59900312;222542;150879;1,34;5219314;2285
"COPPEM";"16693";87;39;23;11;53;32;1,91;2,54;16461348;4675412,70375748;2083852,54527821;4583691,75130865;2080065,85333637;82939;23449;1,88;10553706;3249
"Covenant of Mayors";"04080";9736;96;5;2;1;58;1,73;7,57;215017494;4260933,5093739;2316005,23418193;4322531,07605734;2385746,47964821;9602;4055;4,98;104625393;10229
"DigitalCities";"06621";45;7;4;18;71;20;1,06;1,4;139948589;1528462,75438025;3152685,17931097;3521758,03272822;2831675,47665538;336567;247979;0,94;82263524;9070
"EAHTR";"04982";454;73;22;7;5;28;1,41;2,97;14132459;4646984,81044524;2803475,51750168;4605288,84314564;2882114,48441909;36358;18332;2,02;9866752;3141
