"Locality_Siege";"CountryName";"CountryCode";"Continent";"CityAddress";"typeofcorrect";"lon";"lat";"distance";"timezone.gmtOffset";"timezone.timeZoneId";"timezone.dstOffset";"asciiName";"astergdem";"countryId";"fcl";"srtm3";"adminId2";"adminId3";"countryCode";"adminCodes1.ISO3166_2";"adminId1";"GN_lat";"fcode";"continentCode";"adminCode2";"adminCode3";"adminCode1";"GN_lon";"geonameId";"toponymName";"population";"adminName5";"adminName4";"adminName3";"alternateNames.isPreferredName";"alternateNames.name";"alternateNames.lang";"adminName2";"name";"fclName";"countryName";"fcodeName";"adminName1";"adminCodes2.ISO3166_2";"elevation";"adminId4";"adminCode4";"alternateNames.isShortName";"adminId5";"adminCode5";"alternateNames.isHistoric";"bbox.east";"bbox.south";"bbox.north";"bbox.west";"bbox.accuracyLevel";"score";"cc2";"alternateNames.isColloquial";"DistGeoGN"
"Salies";"France";"FR";"Europe";"Salies, France";"lonlat";2,1294;43,8919;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Val De San Martin";"Spain";"ES";"Europe";"Val De San Martin, Spain";"lonlat";-1,4474;41,057121;"NA";1;"Europe/Madrid";2;"San Martin de Valdeiglesias";680;2510769;"P";675;6355233;6359354;"ES";"MD";3117732;40,36185;"PPLA3";"EU";"M";28133;29;-4,39831;3110326;"San Martín de Valdeiglesias";6965;;;"San Martín de Valdeiglesias";"NA";"سان مارتن دي فالديجليسياس";"ar";"Madrid";"San Martín de Valdeiglesias";"city, village,...";"Spain";"seat of a third-order administrative division";"Madrid";"M";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"-4.38510949877894";"40.3517943428549";"40.3719047528296";"-4.411506101807";2;"53.4766311645508";"NA";"NA";260742,593078027
"Greci";"Italy";"IT";"Europe";"Greci, Italy";"lonlat";15,1693633;41,2530228;"NA";1;"Europe/Rome";2;"Castrignano De' Greci";96;3175395;"P";83;3174952;6540756;"IT";75;3169778;40,17342;"PPLA3";"EU";"LE";75018;13;18,29643;3179382;"Castrignano De' Greci";4070;;;"Castrignano de' Greci";"NA";"Castrignano de' Greci";"en";"Provincia di Lecce";"Castrignano de' Greci";"city, village,...";"Italy";"seat of a third-order administrative division";"Apulia";"LE";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"18.3040701926917";"40.1659348205703";"40.1794888727555";"18.2881858967479";10;"64.2161254882812";"NA";"NA";289913,534773863
"La Figuera";"Spain";"ES";"Europe";"La Figuera, Spain";"lonlat";0,7310074;41,2160813;"NA";1;"Europe/Madrid";2;"La Font de la Figuera";590;2510769;"P";588;2509951;6361993;"ES";"VC";2593113;38,8;"PPL";"EU";"V";46128;60;-0,88333;2517523;"La Font de la Figuera";2139;;;"Font de la Figuera, la";"TRUE";"La Font de la Figuera";"ca";"Valencia";"La Font de la Figuera";"city, village,...";"Spain";"populated place";"Valencia";"V";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"-0.877562878696951";"38.7955031756243";"38.8044968243757";"-0.889103721303049";2;"56.1468811035156";"NA";"NA";302118,205897815
"Michele";"Italy";"IT";"Europe";"Michele, Italy";"lonlat";14,226111;40,554816;"NA";1;"Europe/Rome";2;"San Michele Mondovi";446;3175395;"P";449;3177699;6540133;"IT";21;3170831;44,37595;"PPLA3";"EU";"CN";4210;12;7,90829;3167957;"San Michele Mondovì";1368;;;"San Michele Mondovì";"NA";"San Michele Mondovì";"de";"Provincia di Cuneo";"San Michele Mondovì";"city, village,...";"Italy";"seat of a third-order administrative division";"Piedmont";"CN";444;"NA";"NA";"NA";"NA";"NA";"NA";"7.91652584407841";"44.37161603551";"44.3812089090369";"7.90011161749461";10;"59.3748321533203";"NA";"NA";369596,05351942
"Fonte";"Italy";"IT";"Europe";"Fonte, Italy";"lonlat";11,8682348;45,787098;"NA";1;"Europe/Rome";2;"Fonte Umano-San Martino Alta";118;3175395;"P";114;3171163;6537468;"IT";65;3183560;42,52084;"PPL";"EU";"PE";68012;1;14,1076;8949058;"Fonte Umano-San Martino Alta";1743;;;"Città Sant'Angelo";"NA";"Q18427354";"wkdt";"Provincia di Pescara";"Fonte Umano-San Martino Alta";"city, village,...";"Italy";"populated place";"Abruzzo";"PE";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"14.1207574899211";"42.5156121797569";"42.5267886875834";"14.0905053489202";10;"35.0620803833008";"NA";"NA";405163,505282538
"La Couronne";"France";"FR";"Europe";"La Couronne, France";"lonlat";0,101397;45,608466;"NA";1;"Europe/Paris";2;"Grand-Couronne";23;3017382;"P";17;2975248;2982651;"FR";"NOR";11071621;49,35563;"PPL";"EU";76;763;28;1,00647;3015267;"Grand-Couronne";9569;;"Grand-Couronne";"Rouen";"NA";"La Réunion";"fr_1793";"Seine-Maritime";"Grand-Couronne";"city, village,...";"France";"populated place";"Normandy";"NA";"NA";6443248;76319;"NA";"NA";"NA";"NA";"1.02473996181861";"49.3437335210123";"49.3675284789877";"0.988200038181386";2;"57.5622482299805";"NA";"NA";422644,228258418
"Lei";"Italy";"IT";"Europe";"Lei, Italy";"lonlat";8,55876;40,182018;"NA";1;"Europe/Rome";2;"Naples";23;3175395;"P";14;3172391;3172395;"IT";72;3181042;40,85216;"PPLA";"EU";"NA";63049;4;14,26811;3172394;"Naples";959470;;;"Naples";"TRUE";"Napels";"af";"Naples";"Naples";"city, village,...";"Italy";"seat of a first-order administrative division";"Campania";"NA";17;"NA";"NA";"NA";"NA";"NA";"NA";"14.3537066357826";"40.7918902913658";"40.9159323529191";"14.1394290971699";10;"150.939437866211";"NA";"NA";456132,462749473
"Foradada";"Spain";"ES";"Europe";"Foradada, Spain";"lonlat";1,0129973;41,8768861;"NA";1;"Europe/Madrid";2;"Pilar de la Horadada";44;2510769;"P";31;2521976;6355515;"ES";"VC";2593113;37,86591;"PPLA3";"EU";"A";3902;60;-0,79256;2512581;"Pilar de la Horadada";22050;;;"Pilar de la Horadada";"NA";"El Pilar de la Foradada";"an";"Alicante";"Pilar de la Horadada";"city, village,...";"Spain";"seat of a third-order administrative division";"Valencia";"A";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"-0.768387588180279";"37.8468313397797";"37.884988159901";"-0.816733566604878";2;"48.2158737182617";"NA";"NA";472363,493534819
"Laval";"France";"FR";"Europe";"Laval, France";"lonlat";-0,7669906;48,0785146;"NA";1;"Europe/Paris";2;"Saint-Genis-Laval";246;3017382;"P";245;2987410;2996943;"FR";"ARA";11071625;45,69542;"PPL";"EU";69;691;84;4,79316;2979985;"Saint-Genis-Laval";20883;;"Saint-Genis-Laval";"Lyon";"TRUE";"Genis-le-Patriote";"fr_1793";"Rhône";"Saint-Genis-Laval";"city, village,...";"France";"populated place";"Auvergne-Rhône-Alpes";69;"NA";6441764;69204;"NA";"NA";"NA";"NA";"4.81970970429031";"45.6768751181191";"45.7139568818809";"4.76660229570969";2;"111.207580566406";"NA";"NA";499129,935436978
