"Name";"distance";"timezone.gmtOffset";"timezone.timeZoneId";"timezone.dstOffset";"asciiName";"astergdem";"countryId";"fcl";"srtm3";"adminId2";"adminId3";"countryCode";"adminCodes1.ISO3166_2";"adminId1";"lat";"fcode";"continentCode";"adminCode2";"adminCode3";"adminCode1";"lng";"geonameId";"toponymName";"population";"adminName5";"adminName4";"adminName3";"alternateNames.isPreferredName";"alternateNames.name";"alternateNames.lang";"adminName2";"name";"fclName";"countryName";"fcodeName";"adminName1";"adminCodes2.ISO3166_2";"adminId4";"adminCode4"
"Agii Anargyri Kamatero";"0.71583";"2";"Europe/Athens";"3";"Kamateron";"134";"390903";"P";"142";"445408";"8133819";"GR";"I";"6692632";"38.05586";"PPL";"EU";"99";"9180";"ESYE31";"23.70515";"261249";"Kamaterón";"28361";"";"";"Agioi Anargyroi-Kamatero";"TRUE";"Καματερό";"el";"Nomarchía Athínas";"Kamatero";"city, village,...";"Greece";"populated place";"Attica";NA;NA;NA
"Ampelokipi - Menemeni";"0.58641";"2";"Europe/Athens";"3";"Ampelokipoi";"26";"390903";"P";"26";"734075";"8133985";"GR";"B";"6697801";"40.65304";"PPLA3";"EU";"13";"9026";"ESYE12";"22.92624";"8358616";"Ampelókipoi";"0";"";"";"Ampelokipoi-Menemeni";NA;"Αμπελόκηποι";"el";"Thessaloniki";"Ampelókipoi";"city, village,...";"Greece";"seat of a third-order administrative division";"Central Macedonia";"54";NA;NA
"Anderlecht";"0.44942";"1";"Europe/Brussels";"2";"Anderlecht";"35";"2802361";"P";"27";"6693370";"2800865";"BE";"BRU";"2800867";"50.83619";"PPL";"EU";"BRU";"21";"BRU";"4.31454";"2803201";"Anderlecht";"0";"";"Anderlecht";"Arrondissement Brussel-Hoofdstad";NA;"آندرلخت";"ar";"Bruxelles-Capitale";"Anderlecht";"city, village,...";"Belgium";"populated place";"Brussels Capital";NA;"2803202";"21001"
"Basel-Stadt";"0.36723";"1";"Europe/Zurich";"2";"Kleinbasel Altstadt";"269";"2658434";"P";"-32768";"6458763";"7285161";"CH";"BS";"2661602";"47.56109";"PPLX";"EU";"1200";"2701";"BS";"7.59293";"11789540";"Kleinbasel Altstadt";"0";"";"";"Basel";NA;NA;NA;"Basel-Stadt";"Kleinbasel Altstadt";"city, village,...";"Switzerland";"section of populated place";"Basel-City";NA;NA;NA
"Basingstoke and Deane";"0.58367";"0";"Europe/London";"1";"Basingstoke";"104";"2635167";"P";"96";"2647554";"7290553";"GB";"ENG";"6269131";"51.26249";"PPL";"EU";"F2";"24UB";"ENG";"-1.08708";"2656192";"Basingstoke";"107642";"";"";"Basingstoke and Deane District";NA;"Basingstoke";"de";"Hampshire";"Basingstoke";"city, village,...";"United Kingdom";"populated place";"England";"HAM";NA;NA
"Botkyrka";"0.76524";"1";"Europe/Stockholm";"2";"Slagsta";"59";"2661886";"P";"39";"2720114";NA;"SE";"AB";"2673722";"59.25272";"PPL";"EU";"0127";NA;"26";"17.84304";"7931978";"Slagsta";"0";"";"";"";NA;"https://en.wikipedia.org/wiki/Slagsta";"link";"Botkyrka Kommun";"Slagsta";"city, village,...";"Sweden";"populated place";"Stockholm";NA;NA;NA
"Brighton and Hove";"0.20938";"0";"Europe/London";"1";"The City of Brighton and Hove";"21";"2635167";"P";"17";"3333133";NA;"GB";"ENG";"6269131";"50.8238";"PPL";"EU";"B6";NA;"ENG";"-0.13497";"11550750";"The City of Brighton and Hove";"0";"";"";"";NA;"https://en.wikipedia.org/wiki/Brighton_and_Hove";"link";"Brighton and Hove";"The City of Brighton and Hove";"city, village,...";"United Kingdom";"populated place";"England";"BNH";NA;NA
"Haidari";"0.345";"2";"Europe/Athens";"3";"Nea Fokaia";"94";"390903";"P";"99";"445408";"8133972";"GR";"I";"6692632";"38.00357";"PPLX";"EU";"99";"9185";"ESYE31";"23.66101";"256619";"Néa Fókaia";"0";"";"";"Chaidari";NA;"Νέα Φώκαια";"el";"Nomarchía Athínas";"Néa Fókaia";"city, village,...";"Greece";"section of populated place";"Attica";NA;NA;NA
"Latsia";"0.26751";"2";"Asia/Nicosia";"3";"Agios Georgios";"192";"146669";"P";"-32768";"10190059";NA;"CY";"01";"146267";"35.0953";"PPL";"EU";"10190059";NA;"04";"33.37938";"11979260";"Agios Georgios";"0";"";"";"";NA;"Άγιος Γεώργιος";"el";"Latsiá";"Agios Georgios";"city, village,...";"Cyprus";"populated place";"Nicosia";NA;NA;NA
"Medway";"0.79024";"0";"Europe/London";"1";"Brompton";"12";"2635167";"P";"3";"3333158";NA;"GB";"ENG";"6269131";"51.4";"PPL";"EU";"G5";NA;"ENG";"0.53333";"2654585";"Brompton";"0";"";"";"";NA;"https://en.wikipedia.org/wiki/Brompton%2C_Kent";"link";"Kent";"Brompton";"city, village,...";"United Kingdom";"populated place";"England";"KEN";NA;NA
"Morne-à-l’Eau";"1.58277";"1";"Europe/Paris";"2";"Mandres";"181";"3017382";"P";"185";"3019317";"3033307";"FR";"NOR";"11071621";"48.75273";"PPL";"EU";"27";"272";"28";"0.86764";"2996244";"Mandres";"357";"";"Mandres";"Bernay";NA;"27130";"post";"Eure";"Mandres";"city, village,...";"France";"populated place";"Normandy";NA;"6430475";"27383"
"Roesalare";"0.27326";"1";"Europe/Brussels";"2";"Zuidhoek";"25";"2802361";"P";"22";"2783770";"2787888";"BE";"VLG";"3337388";"50.95";"PPL";"EU";"VWV";"36";"VLG";"3.13333";"2783160";"Zuidhoek";"0";"";"Roeselare";"Arrondissement Roeselare";NA;NA;NA;"West Flanders Province";"Zuidhoek";"city, village,...";"Belgium";"populated place";"Flanders";"VWV";"2787891";"36015"
"Újbuda";"0.94587";"1";"Europe/Budapest";"2";"Kelenfold";"104";"719819";"P";"104";NA;NA;"HU";"BU";"3054638";"47.46614";"PPLX";"EU";NA;NA;"05";"19.03102";"3050393";"Kelenföld";"0";"";"";"";NA;"https://en.wikipedia.org/wiki/Kelenf%C3%B6ld";"link";"";"Kelenföld";"city, village,...";"Hungary";"section of populated place";"Budapest";NA;NA;NA
