"Name";"timezone.gmtOffset";"timezone.timeZoneId";"timezone.dstOffset";"bbox.east";"bbox.south";"bbox.north";"bbox.west";"bbox.accuracyLevel";"asciiName";"astergdem";"countryId";"fcl";"srtm3";"score";"adminId2";"adminId3";"countryCode";"adminCodes1.ISO3166_2";"adminId1";"lat";"fcode";"continentCode";"adminCode2";"adminCode3";"adminCode1";"lng";"geonameId";"toponymName";"population";"adminName5";"adminName4";"adminName3";"alternateNames.name";"alternateNames.lang";"alternateNames.isPreferredName";"adminName2";"name";"fclName";"countryName";"fcodeName";"adminName1";"adminCodes2.ISO3166_2";"elevation";"adminId4";"adminCode4";"alternateNames.isHistoric";"alternateNames.isShortName";"adminId5";"adminCode5";"cc2"
"Aachen";"1";"Europe/Berlin";"2";"6.14385486772838";"50.738926912832";"50.8007867898973";"6.04729584741828";"10";"Aachen";"182";"2921044";"P";"178";"135.563125610352";"2886241";"3247448";"DE";"NW";"2861876";"50.77664";"PPLA3";"EU";"053";"05334";"07";"6.08342";"3247449";"Aachen";"265208";"";"Aachen";"Städteregion Aachen";"Aken";"af";"TRUE";"Cologne District";"Aachen";"city, village,...";"Germany";"seat of a third-order administrative division";"North Rhine-Westphalia";NA;"266";"6553047";"05334002";NA;NA;NA;NA;NA
"Aarhus";"1";"Europe/Copenhagen";"2";"10.324278345172";"56.09362064351";"56.2198525191168";"10.0972457026796";"2";"Arhus";"7";"2623032";"P";"10";"243.659362792969";"2624647";NA;"DK";"82";"6418539";"56.15674";"PPLA2";"EU";"751";NA;"18";"10.21076";"2624652";"Århus";"237551";"";"";"";"Орхус";"bg";"TRUE";"Århus Kommune";"Aarhus";"city, village,...";"Denmark";"seat of a second-order administrative division";"Central Jutland";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Agii Anargyri Kamatero";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Agrinion";"2";"Europe/Athens";"3";"21.443736163849";"38.5933063407745";"38.6494716592255";"21.371819836151";"2";"Agrinio";"66";"390903";"P";"66";"98.3865127563477";"265508";"8133845";"GR";"G";"6697810";"38.62139";"PPLA3";"EU";"31";"9123";"ESYE23";"21.40778";"265560";"Agrínio";"46899";"";"";"Agrinio";"Agrínion";"ca";"TRUE";"Aitoloakarnania";"Agrinio";"city, village,...";"Greece";"seat of a third-order administrative division";"West Greece";"01";NA;NA;NA;NA;NA;NA;NA;NA
"Albacete";"1";"Europe/Madrid";"2";"-1.78767676083478";"38.9408423144466";"39.0476359763317";"-1.92518716128436";"2";"Albacete";"693";"2510769";"P";"695";"178.793563842773";"2522257";"6355295";"ES";"CM";"2593111";"38.99424";"PPLA2";"EU";"AB";"02003";"54";"-1.85643";"2522258";"Albacete";"169716";"";"";"Albacete";"Albacet";"an";NA;"Albacete";"Albacete";"city, village,...";"Spain";"seat of a second-order administrative division";"Castille-La Mancha";"AB";NA;NA;NA;NA;NA;NA;NA;NA
"Alba Iulia";"2";"Europe/Bucharest";"3";"23.6314285784851";"46.0333173578681";"46.1000160421319";"23.5352380215149";"2";"Alba Iulia";"223";"798549";"P";"219";"173.108673095703";"8299636";NA;"RO";"AB";"686581";"46.06667";"PPLA";"EU";"1017";NA;"01";"23.58333";"686578";"Alba Iulia";"66085";"";"";"";"ألبا يوليا";"ar";"TRUE";"Municipiul Alba Iulia";"Alba Iulia";"city, village,...";"Romania";"seat of a first-order administrative division";"Alba";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alcobaça";"0";"Europe/Lisbon";"1";"-8.95646207036321";"39.536019469136";"39.568446530864";"-8.99852792963679";"2";"Alcobaca";"34";"2264397";"P";"38";"127.371429443359";"8010541";"8012306";"PT";"10";"2267094";"39.55223";"PPLA2";"EU";"1001";"100101";"13";"-8.97749";"2272147";"Alcobaça";"15800";"";"";"Alcobaça";"ألكوباكا";"ar";"TRUE";"Alcobaça Municipality";"Alcobaça";"city, village,...";"Portugal";"seat of a second-order administrative division";"Leiria";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alicante";"1";"Europe/Madrid";"2";"-0.385790624011346";"38.2701964899831";"38.4201505815119";"-0.577186785351446";"2";"Alicante";"19";"2510769";"P";"18";"141.320373535156";"2521976";"6355390";"ES";"VC";"2593113";"38.34517";"PPLA2";"EU";"A";"03014";"60";"-0.48149";"2521978";"Alicante";"334757";"";"";"Alicante";"Alicant";"an";"TRUE";"Alicante";"Alicante";"city, village,...";"Spain";"seat of a second-order administrative division";"Valencia";"A";NA;NA;NA;NA;"TRUE";NA;NA;NA
"Almelo";"1";"Europe/Amsterdam";"2";"6.71957747543133";"52.3218347481641";"52.3914992518359";"6.60542252456867";"2";"Almelo";"10";"2750405";"P";"15";"183.999008178711";"2759886";NA;"NL";"OV";"2748838";"52.35667";"PPL";"EU";"0141";NA;"15";"6.6625";"2759887";"Almelo";"72725";"";"";"";"Almelo";"de";NA;"Gemeente Almelo";"Almelo";"city, village,...";"Netherlands";"populated place";"Overijssel";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Almería";"1";"Europe/Madrid";"2";"-2.38928187409841";"36.7817961902997";"36.8944862861543";"-2.53018986662425";"2";"Almeria";"51";"2510769";"P";"21";"177.498611450195";"2521883";"6355530";"ES";"AN";"2593109";"36.83814";"PPLA2";"EU";"AL";"04013";"51";"-2.45974";"2521886";"Almería";"188810";"";"";"Almería";"ألمرية";"ar";NA;"Almeria";"Almería";"city, village,...";"Spain";"seat of a second-order administrative division";"Andalusia";"AL";NA;NA;NA;NA;NA;NA;NA;NA
