Sources;Years;Main.Key.Word;Additionnal.key.words;Name;Code_Network;Description;LeadPartnerCountry;Url;Statut;Start;End;Aims;Activities;Members;Continent;Region;NbCities;PopMean;PopMed;PopSd;PopVar;PopMeanUMZ;PopMedUMZ;PopVarUMZ;PopSdUMZ;CodeCity;LeadPartner;PopMedPartner;POPLAU2_2015;LeadPartnerUMZ;PopMedPartnerUMZ;Pop2011;PopMedPartner;PopMeanPartner;PopMedPartnerUMZ;PopMeanPartnerUMZ;Phase;UMZClass;ClassSizeUMZLead;DecSizeUMZLead
http://urbact.eu;2016;Governance;Abandoned Spaces / Culture & Heritage/ Low Carbon / Participation / Urban Renewal;2nd Chance;1;Activation of vacant buildings and building complexes for a sustainable urban development;IT;http://urbact.eu/2nd-chance;Ongoing;2015;2018;"In many European cities smaller and larger derelict sites, underused premises, etc. <U+FFFD> so called <U+FFFD>voids<U+FFFD> <U+FFFD> can be found in or near the city centre. These sites often have a negative impact on their surroundings. On the other hand they present a great opportunity: the voids can be used to complete a compact settlement structure, to provide space for needed functions in the city.
Large buildings and building complexes that have lost their original purpose, are in decay and derelict, are the biggest opportunity within voids to support a sustainable city and neighborhood development. Because of their size they can provide space for a variety of needed social, economic and ecological as well as cultural functions. Often they are landmarks or identity anchor points.
But these larger buildings and building complexes are often too big to be redeveloped at one time and (financially) too big for just one investor. This results in a further decay of the building, up to the extent that they are a security hazard and an <U+FFFD>eyesore<U+FFFD> for the city. The challenge is to re-activate those \\""sleeping giants\\"" for the benefit of a sustainable urban (neighbourhood) development. It is about to bring these larger buildings and building complexes in use again, to rehabilitate them, providing space for what is needed in the neighborhood / in the city, to support an appropriation through indefinite users, to support a strategic uses of these premises, not only oriented on private exploitation interests, but also on interests of the common goods.";"Cooperatives, builders' groups, associations or foundations invest capital not for the purpose of short-term profit expectations. Self-organised and with a great willingness to shape, they implement ideas of new living and housing models. Some of the projects have set themselves sustainable social and ecological tasks that hold out the promise of long-term benefit for the city also in economic terms. These local groups are to be activated and involved for the revitalisation of these \\""sleeping giants\\"".";Cities;Europe;Southern Europe;11;327598,2727;259246;271172,3438;73534440029;1234366;349029;2,4765E+12;1573690,799;IT23;Naples;248418,5;978399;Napoli;312552;2435950;248418,5;262518,2;312552;1114207,6;Urbact III;Large City;1.Very Large City;8
http://urbact.eu;2016;Governance / Economy;Health/  Strategic Planning;4D Cities;2;Promoting innovation and the knowledge economy in health field for the local social and economic development.;ES;;Closed;2013;2015;aims at stimulating the key factors for developing successful integrated policies on Health Innovation so they become driving forces for local development, both at economic and social levels. Partner cities would like to give a boost to innovation and knowledge economy in health sector as a new productive sector which contributes to the diversification and enhancement of the economic activities and social cohesion of their territories.;;Cities;Europe;Southern Europe;8;174079,5;98612,5;250782,0566;62891639929;332441,375;103500;3,46628E+11;588751,2298;ES21;Igualada;99893;39103;Igualada;105129;60580;99893;193361,8571;105129;371278,7143;Urbact II;Small City;4. Small City;2
http://urbact.eu;2016;Governance / Economy;Ageing/ Employment/ Health/ Participation;Active A.G.E;3;Develop an exchange of experience between 9 cities facing an ageing population - in order to develop greater professional capacity and thus identify and develop good practices - and help them to put in place an integrated approach to dealing with this issues.;IT;;Closed;2008;2011;"Even if the impact of demographic ageing differs from city to city and from region to region, it will influence nearly every sphere of life: labour markets, housing, social security systems, infrastructures, urban/spatial planning, education, budgets and finances.
The partners in this network have highlighted the following common sub-themes that will form the basis of the transnational exchange:
Ageing and economy (enterprise and the <U+FFFD>silver<U+FFFD> economy).
Impact on care systems/arrangements.
Ageing and insecurity.
";The main issue of the project is to produce 9 action plans in order to implement concrete actions for an integrated approach to labour market and social policies for older people.;Cities;Europe;Southern Europe;9;651615,1111;249470;924842,217;8,55333E+11;963875,6667;772876;9,93027E+11;996507,5755;IT36;Rome;180897,5;2872021;Roma;628438,5;2686600;180897,5;374064,375;628438,5;748535,125;Urbact II;Large City;1.Very Large City;9
http://urbact.eu;2016;Environment / Inclusion;Low Carbon;Active Travel Network;4;The basic goal of the project is to set up a network of international partners to encourage Active Travel in cities as appropriate means of transport for short trips to tackle environmental problems. <U+FFFD>;AT;http://urbact.eu/active-travel-network;Closed;2009;2012;The project aims to tackle transport problems caused by solo car use in small/medium sized cities by motivating walking/cycling (NMT). In view of the economic crisis and steadily increasing oil prices NMT is a sensible alternative to using cars for short trips in cities. Furthermore, the project contributes to reducing fossil energy and CO2. Professional awareness campaigns for decision makers, stakeholders and sitizens are to be worked out and put into practice in the porject period. Increasing NMT for short trips in cities should also lead to better health of people. The local economy especially shops in city centres can benefit from a higher frequency of pedestrians and people going by bike.;To ensure an effictive impact of network activities on local policies, each partner is obliged to set up an URBACT local Support Group (ULSG). These groups will involve the key stakeholders concerned and act as a steering committee for the action plan in the sexond phase of the project.;Cities;Europe;Western Europe;7;78224,71429;56048;93207,77225;8687688807;367065,8571;60481;5,67618E+11;753404,0021;AT5;Weiz;63785,5;11316;Weiz;81176;13574;63785,5;89376,16667;81176;425981,1667;Urbact II;Small City;5.Very Small City;1
http://urbact.eu;2016;Environment / Economy;Employment/ Food/ Local Economic Development/ Social Innovation/ Urban-rural;AGRI -URBAN;5;The local food in urban forks;ES;http://urbact.eu/agri-urban;Ongoing;2015;2018;Rethinking Agrifood Production in Small and Medium-sized Cities. Many small and medium-sized cities across Europe have a relative specialization in Agrifood production. Roughly speaking, it is a seemingly mature industry, which still plays an important role in terms of GDP, employment and environmental sustainability. That is why new growth potentials have to be activated by means of innovation, new business models or making the most of the cluster approach.;"tackle initiatives related to short circuits of production and consumption, access to land and employment for youth in agriculture, training policies and support for the inclusion of new producers, urban agriculture, organic products or planning regulations related to agricultural land. A new link between urban and rural spaces, through an integrated urban focus and putting the target in employment creation is our main purpose.
This link is based on a multi-dimensional concept of sustainability which includes three types of objectives: Socio-cultural -  promoting quality of life and wellness; strengthening sense of place in the local communities and creating jobs in the food sector; empowering communities by strengthening the role of citizens in economic development; Economic: territorial integration attracting and retaining population, improving city image, increasing competitiveness, attracting professionals and entrepreneurs; and Environmental: promoting organic farming and good practices, as well as environmental measures; soil preservation avoiding urban occupation of fertile land and incorporating agriculture in appropriate urban spaces and in the urban-rural interface; fostering multi-functionality in rural lands.";Cities;Europe;Southern Europe;11;39248,45455;29213;33466,65031;1120016683;141907,5455;59570;64772122045;254503,6779;ES6;Baena;40506,5;20061;;66041;20061;40506,5;41167,2;66041;154092,2;Urbact III;Small City;5.Very Small City;1
http://urbact.eu;2016;Inclusion;Migrants/ Minorities;ARRIVAL CITIES;6;Managing global flows at local level;PT;http://urbact.eu/arrival-cities;Ongoing;2015;2018;"The last decade has seen a significant change in the nature and pattern of migration flows within the EU. As a result one can observe a rapid change in the population structure and interactions between individuals and social groups in cities. Cities of migration are places of inclusion and exclusion. The chilling events of the past year from Charlie Hebdo to Pegida, remind us that discrimination and prejudice on all sides remain important challenges to face. Local authorities need to deal with how to manage this diversity and find the intersection between various areas in relation to the growing migrant population.
In particular, local authorities have to tackle some concrete challenges, such as: more difficult economic integration due to the economic crisis; increasing risk of social exclusion; educational achievement of second- and third-generation migrants; rise of racist and xenophobe movements; increasing diversification in the composition of immigration flows (e.g. migrants from either Member States and third countries; both skilled and unskilled migrants).
To deal with this situation, the project aims to foster migrants<U+FFFD> social inclusion sharing good practices between project partners, in order to facilitate local authorities facing the challenges and problems described above.";" the project has the objective of exchange practices on the following topics: effective use of migrant human capital; access to key services such as housing, health and education; fight against xenophobia; encourage the involvement of the private sector; e-Inclusion (use of the new technologies).";Cities;Europe;Southern Europe;10;227035,3;169208,5;189687,3288;35981282719;1615476,7;674486,5;9,84768E+12;3138101,052;PT2;Amadora;163281;175136;Lisboa // Sintra;660092;1851170;163281;232801,8889;660092;1589288,556;Urbact III;Large City;2.Large City;7
http://urbact.eu;2016;Governance;Capacity Building/ City Management/ Entrepreneurship & SMEs/ Participation/ Sharing Economy/ Social Innovation;BoostInno;7;Boosting Social Innovation;PL;http://urbact.eu/boostinno;Ongoing;2015;2018;"To enable public administrations to play a new role as public booster and brokers/facilitators of social innovation activities/projects/policies, by driving social innovation in, through and out the public sector. BoostInno will scale up the urban social innovation ecosystem with the concrete ambition to help local public authorities to become European hubs and deliverers of public and private social innovation models. On the Pan European level we will try to connect local ecosystems to transnational networks.
With new forms of organization and new interactions to tackle social issues, the cities will be able to address the changes in city administration for collaboration with citizens. This will be achieved by an adapted and developed Open Innovation methodology and within that, the Quadruple Helix approach, giving a large scope for innovation to the creative user, and adapting the ways of thinking and doing of the local authorities, to this new paradigm.
An improved version of the living labs type of innovation approach could bridge the innovation gap between technology development and the uptake of new products and services involving all relevant players of the value network via partnerships, between business, citizens and government. We propose to concentrate on the capacities of the local authority and citizen activity as a user and as a co-creator in partnership with the business sector.";"Three fundamental aims/spaces of work:
- the brokerage capacity (within the city administration and outside),
- the evolving nature of innovation spaces: the spaces for innovation in cities (both physical and virtual), the space for learning in any local community, and the space for cross fertilization and exchange at the Pan European scene...
- the appropriate curriculums at all levels, producing measurable changes in mind-sets over a medium to long period of time. This would imply appropriate creative and confidence building systems, through which young people can be better prepared for the social innovation paradigm.";Cities;Europe;Eastern Europe;10;808098;547988;704921,117;4,96914E+11;2202497,3;712254;1,04699E+13;3235722,48;PL7;Gdansk;634487;461489;Gdansk // Gdynia;629954;794554;634487;846610,1111;629954;2358935,444;Urbact III;Large City;2.Large City;6
http://urbact.eu;2016;Inclusion;Ageing/ Health/ Participation;Building Healthy Communities;8;"Health is important for the wellbeing of individuals and society, but a healthy population is also a prerequisite for economic productivity and prosperity. The Lisbon strategy underlines the importance of health as a key factor for economic growth. However there is a limited awareness of the contributions that a \\""healthy\\"" urban policy can make to tackle challenges in health.";IT;http://urbact.eu/building-healthy-communities;Closed;2008;2011;The main objective of Building healthy Communities is to establish a network of cities in at least 6 different member states participating in a transnational exchange programme for transfer of policy, planning and practice on urban health policies and to provide capacity building for professional development in the field of urban health. ;;Cities;Europe;Southern Europe;10;594301,5;154186,5;963693,1532;9,28704E+11;1093666,7;376644;2,23718E+12;1495721,652;IT41;Turin;135855;896773;Torino;185214;1311880;135855;560693,5556;185214;1069420,778;Urbact II;Large City;2.Large City;7
http://urbact.eu;2016;Integrated Urban Development / Environment;Energy Efficiency/ Housing/ Low Carbon/ Urban Renewal;CASH, Cities Action for Sustainable Housing Results;9;Propose new solutions and promote new policies for the sustainable renovation of social and affordable housing units in the European Union.;FR;http://urbact.eu/cash-cities-action-sustainable-housing;Closed;2009;2010;As a contribution to Climate Change issue, the network seeks to reduce the energy consumption of buildings and in buildings. It looks for new solutions to renovate social and affordable housing units, in order to improve their energy efficiency (EE) and to influence users<U+FFFD> behavior through citizens<U+FFFD> involvement.;;Cities;Europe;Western Europe;10;190026,2;73412,5;222886,5614;49678419268;1470146,4;245822;1,02472E+13;3201123,471;FR12;Echirolles;75264;35684;Grenoble;88833;402811;75264;207175,3333;88833;1588739,222;Urbact II;Large City;3.Medium-sized City;5
http://urbact.eu;2016;Inclusion / Governance;Health/ Participation/ Social Innovation;CHANGE!;10;Social design of public services;NL;http://urbact.eu/change;Ongoing;2015;2018;"Today public services are faced with ever increasing public expectations and societal challenges. Inevitably, a paradigm shift is needed in particular in cities where these challenges are culminated. The insight of frontline workers and the engagement and better involvement of citizens and communities are key elements for a better public service system, and shall therefore be in the core of the Change!
The project<U+FFFD>s lead partner City of Eindhoven has in recent years made steps to empower the citizens more and to share their innovative ideas <U+FFFD> to work with them and not just for them. Realizing that in a collaboration with the citizens , the end-users of their services, they can together co-create better public service. The CHANGE project makes it possible to further explore and improve the steps already taken and share the experiences of other European cities.    
Therefore, the main goal with CHANGE! is to identify parameters and model pathways for culturally diverse cities enabling then to move forward towards a more collaborative public service model.";"
The partnership look forward to collaborate further on how to ensure a better public service by engaging the citizens themselves in the social innovation design. The partnership consist of, beside the lead partner from City of Eindhoven, four other local public authorities from Nagykanizsa (Hungary), Gdansk (Poland), Forli (Italy) and Dun Laoghaire Rathdown (Ireland).";Cities;Europe;Western Europe;9;248921,1111;223214;209290,831;43802651920;407571,1111;315664;1,41334E+11;375943,6403;NL7;Eindhoven;217815;223214;Eindhoven;279083,5;356198;217815;252134,5;279083,5;413992,75;Urbact III;Large City;3.Medium-sized City;4
