"Code_Network";"Ncities";"KPOP1";"KPOP2";"KPOP3";"KPOP4";"primacy_index";"coef_variation"
"1";11;9;18;36;36;1,6512868202401;0,827758771495662
"10";9;22;22;11;44;1,38899735421646;0,840791807557313
"11";10;70;20;0;10;1,5550263045642;NA
"12";10;0;30;0;70;2,55921488243145;0,923056329332243
"13";11;18;27;18;36;1,2607267292761;1,08586392747843
"14";9;11;22;44;22;3,14517679957171;1,19567971749532
"15";11;9;9;36;45;2,75357776145869;1,52800410496336
"16";9;33;44;11;11;3,1908945268125;1,27849298331206
"17";9;11;22;11;56;1,77890541211122;0,881415960294614
"18";10;0;10;20;70;1,08897718745661;0,456128910915005
"19";9;0;11;33;56;1,23526804990569;0,769043876811875
"2";8;38;38;12;12;3,46797243900472;1,44061797415871
"20";4;25;75;0;0;1,46611127924943;0,517644055741312
"21";7;43;0;43;14;8,08659935151133;1,87349952007738
"22";12;8;50;33;8;2,84885804212735;0,961072719620176
"23";8;12;50;38;0;1,01691842009572;0,468070949167252
"24";5;0;60;40;0;1,01691842009572;0,424767081410537
"25";10;10;30;40;20;1,01718415592843;0,559542875917958
"26";9;11;11;0;78;2,70895957507007;1,66953645665655
"27";6;17;17;0;67;13,4019024050731;1,97005704686941
"28";12;0;17;42;42;1;1,3536729362238
"29";10;0;40;40;20;20,9409785829253;2,6080353377184
"3";9;22;22;11;44;2,28104908429098;1,41930750407072
"30";5;20;40;40;0;1,43410076929958;0,758683887573646
"31";12;8;17;50;25;1,08581403020085;0,658849153547783
"32";4;0;25;50;25;1,99991300144998;0,543818808216899
"33";5;0;40;40;20;1,8550475493782;0,768311629677056
"34";9;22;22;11;44;1,82662877988765;0,984235704263671
"35";5;0;20;40;40;6,2233791054608;1,56381587642848
"36";10;10;0;50;40;2,12837473920379;1,12508639569814
"37";10;0;20;20;60;3,28614191471675;1,15189771400007
"38";5;0;0;40;60;1,02900245144258;0,360218927126196
"39";11;18;36;36;9;40,9938828516414;2,89749941381951
"4";7;43;43;14;0;2,62519626239804;1,19153867288673
"40";8;0;0;50;50;1,09144292177262;0,594157062331556
"41";7;0;14;57;29;1,09646639957178;0,62735616415142
"42";10;60;20;20;0;1,44712673977225;0,92946302671624
"43";8;0;25;50;25;1,11443356332072;0,595325921564418
"44";9;44;44;11;0;1,99867531264474;0,803284341839391
"45";8;12;0;38;50;1,28469776890216;0,765205531000521
"46";12;0;8;8;83;1,56163232250517;0,681057522905917
"47";12;8;8;17;67;1,93520768354979;0,806689394309055
"48";8;25;50;25;0;1,044417752443;0,77770779495101
"49";7;0;29;0;71;1,07723649653975;0,978234273145757
"5";11;55;45;0;0;1,05262871980965;0,852687085214347
"50";10;60;30;0;10;5,19555667228634;1,85540091260011
"51";10;0;10;0;90;1,67585107737381;0,895886890192204
"52";4;25;50;25;0;2,01361539722307;0,677861461290222
"53";10;0;10;20;70;1,01492455917106;0,693996607118973
"54";11;27;36;9;27;3,26033388488817;1,50582929021395
"55";10;0;20;30;50;1,63404164044747;1,30349418964796
"56";8;0;12;62;25;5,3542528091896;1,2917399925453
"57";10;0;0;40;60;1,16388276571083;0,459532574200011
"58";6;0;83;0;17;3,48021952242498;0,857359445287845
"59";10;30;30;20;20;1,20584000278487;0,974102211816
"6";10;10;20;50;20;1,34156050455519;0,835497073937979
"60";11;9;27;9;55;1,03586588843934;0,741455619535213
"61";10;40;60;0;0;1,35983419496064;0,533694677734349
"62";9;11;33;22;33;2,91440273263912;1,44476806648114
"63";6;17;17;17;50;2,91440273263912;1,29014785842876
"64";7;0;71;29;0;1,04062942143704;0,351925754082581
"65";10;10;20;30;40;1,15075011824058;0,864079291814698
"66";9;11;22;0;67;1,11565642238765;1,01306035141059
"67";9;0;11;44;44;2,25154323620866;1,01498082590749
"68";8;38;50;12;0;2,01361539722307;0,752784965719657
"69";10;0;20;30;50;1,19566931531526;0,653718002077299
"7";10;0;10;20;70;1,38398696968926;0,872321323660239
"70";11;18;64;9;9;6,98437836905429;1,73710947362717
"71";8;50;50;0;0;1,26194229859688;0,567709208229103
"72";3;0;33;0;67;5,32444387591467;1,29382929763889
"73";8;0;62;12;25;2,29226980165506;0,991416530303688
"74";9;0;22;0;78;5,37860340046915;1,76599850623472
"75";9;11;11;22;56;1,57407040186741;0,796085342391076
"76";9;0;44;33;22;3,28139708119956;1,4285536774295
"77";8;50;38;12;0;3,41707286589176;1,2665503336245
"78";10;0;60;10;30;1,5263468261657;1,11605304616419
"79";9;0;11;11;78;1,70065877121252;0,646077271161402
"8";10;10;40;10;40;3,56683909974988;1,62155598326881
"80";10;30;30;10;30;1,58158733015387;1,42687231255926
"81";10;30;50;20;0;1,44855406538139;0,741081012393878
"82";10;40;60;0;0;1,27887025849669;0,778766094607019
"83";8;12;25;12;50;1,26190557970949;0,793224891662905
"84";9;11;44;11;33;3,59438959153932;1,38232171283935
"86";7;29;14;43;14;1,34455709600373;0,861060151664148
"88";9;11;11;22;56;2,09940577760701;1,24237185976876
"89";9;0;11;0;89;1,24336683424842;0,622374360382024
"9";10;30;40;0;30;1,2912535074843;1,17292542519762
