Code_Network;NameCity;CodeCity;Country;Continent;Region;City.Statut;Sources;Years;Network;Description;LeadPartnerCountry;Url;Start;End;geonameId;asciiName;lng_GN;lat_GN
1;Porto;PT18;PT;Europe;Southern Europe;Partner;http://urbact.eu;2016;2nd Chance;Activation of vacant buildings and building complexes for a sustainable urban development;IT;http://urbact.eu/2nd-chance;2015;2018;2735943;Porto;-8,61099;41,14961
1;Naples;IT23;IT;Europe;Southern Europe;Lead Partner;http://urbact.eu;2016;2nd Chance;Activation of vacant buildings and building complexes for a sustainable urban development;IT;http://urbact.eu/2nd-chance;2015;2018;3172394;Naples;14,26811;40,85216
1;Gijon;ES16;ES;Europe;Southern Europe;Partner;http://urbact.eu;2016;2nd Chance;Activation of vacant buildings and building complexes for a sustainable urban development;IT;http://urbact.eu/2nd-chance;2015;2018;3121424;Gijon;-5,66152;43,53573
1;Chemnitz;DE6;DE;Europe;Western Europe;Partner;http://urbact.eu;2016;2nd Chance;Activation of vacant buildings and building complexes for a sustainable urban development;IT;http://urbact.eu/2nd-chance;2015;2018;2940132;Chemnitz;12,92922;50,8357
1;Maribor;SI5;SI;Europe;Southern Europe;Partner;http://urbact.eu;2016;2nd Chance;Activation of vacant buildings and building complexes for a sustainable urban development;IT;http://urbact.eu/2nd-chance;2015;2018;3195506;Maribor;15,64667;46,55472
1;Lublin;PL17;PL;Europe;Eastern Europe;Partner;http://urbact.eu;2016;2nd Chance;Activation of vacant buildings and building complexes for a sustainable urban development;IT;http://urbact.eu/2nd-chance;2015;2018;765876;Lublin;22,56667;51,25
1;Dubrovnik;HR1;HR;Europe;Southern Europe;Partner;http://urbact.eu;2016;2nd Chance;Activation of vacant buildings and building complexes for a sustainable urban development;IT;http://urbact.eu/2nd-chance;2015;2018;3201047;Dubrovnik;18,10909;42,64125
1;Brussels;BE4;BE;Europe;Western Europe;Partner;http://urbact.eu;2016;2nd Chance;Activation of vacant buildings and building complexes for a sustainable urban development;IT;http://urbact.eu/2nd-chance;2015;2018;2800866;Brussels;4,34878;50,85045
1;Caen;FR5;FR;Europe;Western Europe;Partner;http://urbact.eu;2016;2nd Chance;Activation of vacant buildings and building complexes for a sustainable urban development;IT;http://urbact.eu/2nd-chance;2015;2018;3029241;Caen;-0,35912;49,18585
1;Genoa;IT19;IT;Europe;Southern Europe;Partner;http://urbact.eu;2016;2nd Chance;Activation of vacant buildings and building complexes for a sustainable urban development;IT;http://urbact.eu/2nd-chance;2015;2018;3176219;Genoa;8,94439;44,40478
1;Liverpool;UK16;UK;Europe;Northern Europe;Partner;http://urbact.eu;2016;2nd Chance;Activation of vacant buildings and building complexes for a sustainable urban development;IT;http://urbact.eu/2nd-chance;2015;2018;2644210;Liverpool;-2,97794;53,41058
2;Leeds;UK15;UK;Europe;Northern Europe;Partner;http://urbact.eu;2016;4D Cities ;Promoting innovation and the knowledge economy in health field for the local social and economic development.;ES;NA;2013;2015;2644688;Leeds;-1,54785;53,79648
2;Igualada;ES21;ES;Europe;Southern Europe;Lead Partner;http://urbact.eu;2016;4D Cities ;Promoting innovation and the knowledge economy in health field for the local social and economic development.;ES;NA;2013;2015;3120431;Igualada;1,6172;41,58098
2;Novara;IT24;IT;Europe;Southern Europe;Partner;http://urbact.eu;2016;4D Cities ;Promoting innovation and the knowledge economy in health field for the local social and economic development.;ES;NA;2013;2015;3172189;Novara;8,62118;45,44694
2;Plungé;LT4;LT;Europe;Northern Europe;Partner;http://urbact.eu;2016;4D Cities ;Promoting innovation and the knowledge economy in health field for the local social and economic development.;ES;NA;2013;2015;595689;Plunge;21,84417;55,91139
2;Tartu;EE2;EE;Europe;Northern Europe;Partner;http://urbact.eu;2016;4D Cities ;Promoting innovation and the knowledge economy in health field for the local social and economic development.;ES;NA;2013;2015;588335;Tartu;26,72509;58,38062
2;Jena;DE17;DE;Europe;Western Europe;Partner;http://urbact.eu;2016;4D Cities ;Promoting innovation and the knowledge economy in health field for the local social and economic development.;ES;NA;2013;2015;2895044;Jena;11,5899;50,92878
2;Eindhoven;NL7;NL;Europe;Western Europe;Partner;http://urbact.eu;2016;4D Cities ;Promoting innovation and the knowledge economy in health field for the local social and economic development.;ES;NA;2013;2015;2756253;Eindhoven;5,47778;51,44083
2;Baia Sprie;RO5;RO;Europe;Eastern Europe;Partner;http://urbact.eu;2016;4D Cities ;Promoting innovation and the knowledge economy in health field for the local social and economic development.;ES;NA;2013;2015;685823;Baia Sprie;23,69215;47,66189
3;Thessaloniki;GR19;GR;Europe;Southern Europe;Partner;http://urbact.eu;2016;Active A.G.E;Develop an exchange of experience between 9 cities facing an ageing population - in order to develop greater professional capacity and thus identify and develop good practices - and help them to put in place an integrated approach to dealing with this issues.;IT;NA;2008;2011;734077;Thessaloniki;22,93086;40,64361
3;Starogard;PL23;PL;Europe;Eastern Europe;Partner;http://urbact.eu;2016;Active A.G.E;Develop an exchange of experience between 9 cities facing an ageing population - in order to develop greater professional capacity and thus identify and develop good practices - and help them to put in place an integrated approach to dealing with this issues.;IT;NA;2008;2011;3084826;Starogard Gdanski;18,52638;53,96396
3;Prague;CZ8;CZ;Europe;Eastern Europe;Partner;http://urbact.eu;2016;Active A.G.E;Develop an exchange of experience between 9 cities facing an ageing population - in order to develop greater professional capacity and thus identify and develop good practices - and help them to put in place an integrated approach to dealing with this issues.;IT;NA;2008;2011;3067696;Prague;14,42076;50,08804
3;Wolverhampton;UK25;UK;Europe;Northern Europe;Partner;http://urbact.eu;2016;Active A.G.E;Develop an exchange of experience between 9 cities facing an ageing population - in order to develop greater professional capacity and thus identify and develop good practices - and help them to put in place an integrated approach to dealing with this issues.;IT;NA;2008;2011;2655603;Birmingham;-1,89983;52,48142
3;Rome;IT36;IT;Europe;Southern Europe;Lead Partner;http://urbact.eu;2016;Active A.G.E;Develop an exchange of experience between 9 cities facing an ageing population - in order to develop greater professional capacity and thus identify and develop good practices - and help them to put in place an integrated approach to dealing with this issues.;IT;NA;2008;2011;3169070;Rome;12,51133;41,89193
3;Maribor;SI5;SI;Europe;Southern Europe;Partner;http://urbact.eu;2016;Active A.G.E;Develop an exchange of experience between 9 cities facing an ageing population - in order to develop greater professional capacity and thus identify and develop good practices - and help them to put in place an integrated approach to dealing with this issues.;IT;NA;2008;2011;3195506;Maribor;15,64667;46,55472
3;Dobrich;BG2;BG;Europe;Eastern Europe;Partner;http://urbact.eu;2016;Active A.G.E;Develop an exchange of experience between 9 cities facing an ageing population - in order to develop greater professional capacity and thus identify and develop good practices - and help them to put in place an integrated approach to dealing with this issues.;IT;NA;2008;2011;726418;Dobrich;27,83333;43,56667
3;Edinburgh;UK10;UK;Europe;Northern Europe;Partner;http://urbact.eu;2016;Active A.G.E;Develop an exchange of experience between 9 cities facing an ageing population - in order to develop greater professional capacity and thus identify and develop good practices - and help them to put in place an integrated approach to dealing with this issues.;IT;NA;2008;2011;2650225;Edinburgh;-3,19648;55,95206
3;Seville;ES36;ES;Europe;Southern Europe;Partner;http://urbact.eu;2016;Active A.G.E;Develop an exchange of experience between 9 cities facing an ageing population - in order to develop greater professional capacity and thus identify and develop good practices - and help them to put in place an integrated approach to dealing with this issues.;IT;NA;2008;2011;2510911;Sevilla;-5,97317;37,38283
4;Skanderborg;DK3;DK;Europe;Northern Europe;Partner;http://urbact.eu;2016;Active Travel Network;The basic goal of the project is to set up a network of international partners to encourage Active Travel in cities as appropriate means of transport for short trips to tackle environmental problems. ;AT;http://urbact.eu/active-travel-network;2009;2012;2613887;Skanderborg;9,93177;56,03434
4;Serres;GR18;GR;Europe;Southern Europe;Partner;http://urbact.eu;2016;Active Travel Network;The basic goal of the project is to set up a network of international partners to encourage Active Travel in cities as appropriate means of transport for short trips to tackle environmental problems. ;AT;http://urbact.eu/active-travel-network;2009;2012;734330;Serres;23,54757;41,08499
4;Graz;AT1;AT;Europe;Western Europe;Partner;http://urbact.eu;2016;Active Travel Network;The basic goal of the project is to set up a network of international partners to encourage Active Travel in cities as appropriate means of transport for short trips to tackle environmental problems. ;AT;http://urbact.eu/active-travel-network;2009;2012;2778067;Graz;15,45;47,06667
4;Novara;IT24;IT;Europe;Southern Europe;Partner;http://urbact.eu;2016;Active Travel Network;The basic goal of the project is to set up a network of international partners to encourage Active Travel in cities as appropriate means of transport for short trips to tackle environmental problems. ;AT;http://urbact.eu/active-travel-network;2009;2012;3172189;Novara;8,62118;45,44694
4;Ljutomer;SI4;SI;Europe;Southern Europe;Partner;http://urbact.eu;2016;Active Travel Network;The basic goal of the project is to set up a network of international partners to encourage Active Travel in cities as appropriate means of transport for short trips to tackle environmental problems. ;AT;http://urbact.eu/active-travel-network;2009;2012;3196307;Ljutomer;16,1975;46,52083
4;Weiz;AT5;AT;Europe;Western Europe;Lead Partner;http://urbact.eu;2016;Active Travel Network;The basic goal of the project is to set up a network of international partners to encourage Active Travel in cities as appropriate means of transport for short trips to tackle environmental problems. ;AT;http://urbact.eu/active-travel-network;2009;2012;2761531;Weiz;15,61667;47,21667
4;Norderstedt;DE24;DE;Europe;Western Europe;Partner;http://urbact.eu;2016;Active Travel Network;The basic goal of the project is to set up a network of international partners to encourage Active Travel in cities as appropriate means of transport for short trips to tackle environmental problems. ;AT;http://urbact.eu/active-travel-network;2009;2012;2862026;Norderstedt;9,98041;53,6859
5;Fundão;PT11;PT;Europe;Southern Europe;Partner;http://urbact.eu;2016;AGRI -URBAN;The local food in urban forks;ES;http://urbact.eu/agri-urban;2015;2018;2739187;Fundao;-7,50135;40,14025
5;Modave;BE7;BE;Europe;Western Europe;Partner;http://urbact.eu;2016;AGRI -URBAN;The local food in urban forks;ES;http://urbact.eu/agri-urban;2015;2018;2791132;Modave;5,29532;50,44614
5;Baena;ES6;ES;Europe;Southern Europe;Lead Partner;http://urbact.eu;2016;AGRI -URBAN;The local food in urban forks;ES;http://urbact.eu/agri-urban;2015;2018;2521415;Baena;-4,32245;37,6167
5;Cesena;IT10;IT;Europe;Southern Europe;Partner;http://urbact.eu;2016;AGRI -URBAN;The local food in urban forks;ES;http://urbact.eu/agri-urban;2015;2018;3178957;Cesena;12,24315;44,1391
5;Pyli;GR16;GR;Europe;Southern Europe;Partner;http://urbact.eu;2016;AGRI -URBAN;The local food in urban forks;ES;http://urbact.eu/agri-urban;2015;2018;259245;Kos;27,28768;36,89295
5;Petrinja;HR4;HR;Europe;Southern Europe;Partner;http://urbact.eu;2016;AGRI -URBAN;The local food in urban forks;ES;http://urbact.eu/agri-urban;2015;2018;3193420;Petrinja;16,29;45,4375
5;Mollet Del Vallès;ES28;ES;Europe;Southern Europe;Partner;http://urbact.eu;2016;AGRI -URBAN;The local food in urban forks;ES;http://urbact.eu/agri-urban;2015;2018;3116553;Mollet del Valles;2,21306;41,54026
5;Jelgava;LV3;LV;Europe;Northern Europe;Partner;http://urbact.eu;2016;AGRI -URBAN;The local food in urban forks;ES;http://urbact.eu/agri-urban;2015;2018;459279;Jelgava;23,71278;56,65
