Main.Key.Word;Additionnal.key.words;Name;Code_Network;Description;LeadPartnerCountry;Url;Start;End;Aims;Activities;Members;Continent;Region;NbCities;CodeCity;LeadPartner;Phase;Type
Governance;Abandoned Spaces / Culture & Heritage/ Carbon Neutrality / Participation / Urban Renewal;2nd Chance;1;Activation of vacant buildings and building complexes for a sustainable urban development;IT;http://urbact.eu/2nd-chance;2015;2018;"In many European cities smaller and larger derelict sites, underused premises, etc.  so called voids can be found in or near the city centre. These sites often have a negative impact on their surroundings. On the other hand they present a great opportunity: the voids can be used to complete a compact settlement structure, to provide space for needed functions in the city.
Large buildings and building complexes that have lost their original purpose, are in decay and derelict, are the biggest opportunity within voids to support a sustainable city and neighborhood development. Because of their size they can provide space for a variety of needed social, economic and ecological as well as cultural functions. Often they are landmarks or identity anchor points.
But these larger buildings and building complexes are often too big to be redeveloped at one time and (financially) too big for just one investor. This results in a further decay of the building, up to the extent that they are a security hazard and an eyesore for the city. The challenge is to re-activate those \\""sleeping giants\\"" for the benefit of a sustainable urban (neighbourhood) development. It is about to bring these larger buildings and building complexes in use again, to rehabilitate them, providing space for what is needed in the neighborhood / in the city, to support an appropriation through indefinite users, to support a strategic uses of these premises, not only oriented on private exploitation interests, but also on interests of the common goods.";"Cooperatives, builders' groups, associations or foundations invest capital not for the purpose of short-term profit expectations. Self-organised and with a great willingness to shape, they implement ideas of new living and housing models. Some of the projects have set themselves sustainable social and ecological tasks that hold out the promise of long-term benefit for the city also in economic terms. These local groups are to be activated and involved for the revitalisation of these \\""sleeping giants\\"".";Cities;Europe;Southern Europe;11;IT23;Naples;Urbact III;Action Planning
Inclusion;Culture & Heritage;ACCESS;90;ACCESS to Culture for all Citizens;NL;https://urbact.eu/access;2019;NA;ACCESS addresses the importance of inclusive cultural policies. A challenge the eight partner cities in this APN all face is that culture does not enrich or empower all people equally. We need to gain a better understanding of our communities in order to engage all citizens in our cities. We have identified four topics to work on that will enable us to gain that understanding and support us in reaching all population groups in the participating cities from the west, east and south of Europe.;;Cities;Europe;Western Europe;8;NL3;Amsterdam;Urbact III;Action Planning
Inclusion;Digital Transition;ACTIVE CITIZENS;91;Citizens' participation in small and medium-sized cities;FR;https://urbact.eu/activecitizens;2019;NA;"The aim of ""Active Citizens"" is to rethink the place of the citizens in the local governance by finding a balance between representative democracy and participatory democracy. This network of European small and medium-sized cities, with the same expectations and similar challenges, will notably take into account, to do this, new digital tools while integrating the issue of citizens away or not confortable with digital tools.";;Cities;Europe;Western Europe;8;;Agen;Urbact III;Action Planning
Inclusion;Abandoned Spaces / Youth;ACTive NGOs;92;NGO House as the key and the platform for cooperation of the city non-governmental organisations and the municipality;LV;https://urbact.eu/active-ngos;2018;NA;The Riga NGO House was opened in 2013, in line with the wishes of residents and civil society actors, to support NGOs and to increase citizen awareness of local affairs and participation in municipality-related activities. Set in a refurbished school building, the NGO House offers resources for NGO capacity building, exchange of information, experience and best practices, networking and leadership training. It promotes  society integration, active social inclusion and citizen participation.;;Cities;Europe;Northern Europe;6;LV5;Riga;Urbact III;Transfer
Economy;Environment / Food / Jobs and skills / Local Economy / Social Economy / Urban-rural;AGRI -URBAN;5;The local food in urban forks;ES;http://urbact.eu/agri-urban;2015;2018;Rethinking Agrifood Production in Small and Medium-sized Cities. Many small and medium-sized cities across Europe have a relative specialization in Agrifood production. Roughly speaking, it is a seemingly mature industry, which still plays an important role in terms of GDP, employment and environmental sustainability. That is why new growth potentials have to be activated by means of innovation, new business models or making the most of the cluster approach.;"tackle initiatives related to short circuits of production and consumption, access to land and employment for youth in agriculture, training policies and support for the inclusion of new producers, urban agriculture, organic products or planning regulations related to agricultural land. A new link between urban and rural spaces, through an integrated urban focus and putting the target in employment creation is our main purpose.
This link is based on a multi-dimensional concept of sustainability which includes three types of objectives: Socio-cultural -  promoting quality of life and wellness; strengthening sense of place in the local communities and creating jobs in the food sector; empowering communities by strengthening the role of citizens in economic development; Economic: territorial integration attracting and retaining population, improving city image, increasing competitiveness, attracting professionals and entrepreneurs; and Environmental: promoting organic farming and good practices, as well as environmental measures; soil preservation avoiding urban occupation of fertile land and incorporating agriculture in appropriate urban spaces and in the urban-rural interface; fostering multi-functionality in rural lands.";Cities;Europe;Southern Europe;11;ES6;Baena;Urbact III;Action Planning
Integrated Urban Development;Housing / Social Economy / Urban Renewal;ALT/BAU;93;Alternative Building Activation Units;DE;https://urbact.eu/alt-bau;2018;NA;The ALT/BAU Transfer Network focuses on alternative strategies in central and historic districts of European cities to activate unused and decaying housing stock resulting from demographic, economic and social change. Based on the experiences from Chemnitz’ URBACT Good Practice “Housing Agency for Shrinking Cities”, the network transfers experiences that proved successful to proactively connect administrations, owners, investors and users to initiate sustainable and resource saving development.;;Cities;Europe;Western Europe;7;DE6;Chemnitz;Urbact III;Transfer
Inclusion;Migrants;ARRIVAL CITIES;6;Managing global flows at local level;PT;http://urbact.eu/arrival-cities;2015;2018;"The last decade has seen a significant change in the nature and pattern of migration flows within the EU. As a result one can observe a rapid change in the population structure and interactions between individuals and social groups in cities. Cities of migration are places of inclusion and exclusion. The chilling events of the past year from Charlie Hebdo to Pegida, remind us that discrimination and prejudice on all sides remain important challenges to face. Local authorities need to deal with how to manage this diversity and find the intersection between various areas in relation to the growing migrant population.
In particular, local authorities have to tackle some concrete challenges, such as: more difficult economic integration due to the economic crisis; increasing risk of social exclusion; educational achievement of second- and third-generation migrants; rise of racist and xenophobe movements; increasing diversification in the composition of immigration flows (e.g. migrants from either Member States and third countries; both skilled and unskilled migrants).
To deal with this situation, the project aims to foster migrants' social inclusion sharing good practices between project partners, in order to facilitate local authorities facing the challenges and problems described above.";" the project has the objective of exchange practices on the following topics: effective use of migrant human capital; access to key services such as housing, health and education; fight against xenophobia; encourage the involvement of the private sector; e-Inclusion (use of the new technologies).";Cities;Europe;Southern Europe;10;PT2;Amadora;Urbact III;Action Planning
Environment;Climate Adaptation / Local Economy / Social Economy;BeePathNet;95;Building and Connecting Urban Bee-aware Cities in Europe;SI;https://urbact.eu/beepathnet;2018;NA;BEE PATH good practice logic is very simple - bees are the best indicator of healthy environment! BeePathNet project aims to up-grade and transfer BEE PATH concept, solutions and results from Ljubljana to 5 other EU Cities. It will address urban environmental, biodiversity and food self-sufficiency challenges linked to urban beekeeping through integrated and participative approaches, build key stakeholders’ capacity to influence relevant policies, develop and implement efficient solutions.;;Cities;Europe;Southern Europe;6;SI3;Ljubljana;Urbact III;Transfer
Environment;Education / Food / Procurement / Waste;BioCanteens;96;Sustainable school meals for green and healthy local food systems;FR;https://urbact.eu/biocanteens;2018;NA;Faced with the negative impact of industrial food production on health and environment, cities can reverse this trend with sustainable food governance. Developing 100% organic canteens with no cost increase by reducing food waste by 80% and introducing plant proteins, Mouans-Sartoux's BioCanteens Good Practice has succeeded in relocating food supply, revitalizing local agriculture and educating children and families to sustainable food. 85% of them say they have changed their food habits.;;Cities;Europe;Western Europe;7;FR21;Mouans-Sartoux;Urbact III;Transfer
Economy;Circular Economy / Entrepreneurship & SMEs / Local Economy;BLUACT;94;BLUegrowth cities in ACTion;GR;https://urbact.eu/bluact;2018;NA;The city of Piraeus put in place BlueGrowth Initiative (BGI), an innovation competition for Blue Economy, to strengthen traditional economic activities related to the maritime sector with innovative business ideas. BGI helps young entrepreneurs realise innovative concepts and create jobs in Blue Economy. BGI comprises: innovative proposals submission, evaluation, an award ceremony, and an incubation programme. The heart of BGI is Marinescape, a quadruple-helix ecosystem for Blue Economy.;;Cities;Europe;Southern Europe;8;GR15;Piraeus;Urbact III;Transfer
