"Code_Network";"Ncities";"KPOP1";"KPOP2";"KPOP3";"KPOP4";"CITY_LEAD";"POP_LEAD";"Ncountry";"areaKM2";"X_mean";"Y_mean";"Ra"
"1";11;9;27;45;18;"Naples";978399;10;3543317,23121922;4105763,56053411;2686802,90140156;453312,339481155
"10";9;22;22;44;11;"Eindhoven";223214;9;3878784,31736238;4257623,8067013;3159670,61631151;544717,372262365
"11";10;70;20;0;10;"San Dona di Piave";NA;10;2800308,78166782;4043168,43388518;2722655,48570472;312302,645494751
"12";10;0;30;20;50;"Utrecht";334139;10;5202489,13700801;4235684,87588032;3091124,45196724;577117,746974616
"13";11;18;45;18;18;"Bielefeld";321758;10;5654161,82797381;4342130,3814748;2368744,1194322;561047,095518977
"14";9;11;33;44;11;"Graz";274207;8;1753101,29617694;4705601,6803875;2689132,09600102;347194,505030365
"15";11;9;36;27;27;"Berlin";3382170;11;4549055,87263675;4347722,32510192;2841750,21929858;478720,666789638
"16";9;33;56;0;11;"Lisbon";547733;7;7819357,15681849;4342771,2994685;2596485,10030839;727097,900457889
"17";9;11;22;33;33;"Birmingham";1111300;8;5213699,32832973;4079823,94714548;3031235,55264937;596351,859057598
"18";10;0;10;40;50;"Manchester";530300;10;5065935,72456995;4051595,28387935;2985733,84367129;444894,833574431
"19";9;0;22;44;33;"Naples";978399;7;5742986,15300154;4256929,60526287;2372383,2996878;634520,469986471
"2";8;38;38;12;12;"Igualada";39103;8;3456385,85296625;4435244,28407938;3106462,10735278;571685,074322211
"20";4;25;75;0;0;"Södertälje";92041;4;3168978,94269785;4710861,78637381;3299530,27272322;811336,294123911
"21";7;43;14;29;14;"Paris";2229621;5;2138968,64858287;4052694,671887;2828475,20665462;415572,95653345
"22";12;8;58;25;8;"Reggio Emilia";171655;9;4743956,66053286;4060163,79257555;2882531,69046994;422112,168369219
"23";8;12;62;25;0;"Basingstoke and Deane";107355;6;4977991,75902849;4165819,47817254;2821623,43745064;475853,165938949
"24";5;0;60;40;0;"Basingstoke and Deane";107355;5;3931861,52437889;4505851,38687529;3004847,01260562;830044,485126323
"25";10;10;30;60;0;"Delft";101101;9;7175913,62828315;4472308,14469361;3063734,84916523;595207,631423888
"26";9;11;11;11;67;"London";8665000;8;6443376,3014153;4007875,96940959;2898202,31934064;448307,026600386
"27";6;17;17;17;50;"London";8665000;6;6237352,54420202;4244303,95465103;3009286,74690037;864613,419596047
"28";12;0;42;25;33;"Berlin";3382170;10;4838545,82881934;4280783,37475692;2842263,61221429;397050,189114632
"29";10;0;70;20;10;"London";8665000;10;4705529,33144507;4460138,22556535;3178644,16436176;477826,162525566
"3";9;22;22;11;44;"Rome";2872021;8;5648560,99147501;4409236,2873895;2715221,09277128;585124,594963157
"30";5;20;60;20;0;"Burgos";178864;4;2057664,96815366;4473358,24525733;2190158,65351391;717574,198817762
"31";12;8;25;50;17;"Poznan";545680;9;5740164,19528245;4117465,6368891;2887630,78907061;424290,939297294
"32";4;0;50;50;0;"York";206900;4;4598166,64045765;4223785,52580667;2875856,83879134;1420656,60752873
"33";5;0;60;20;20;"Udine";99473;4;1773139,59023271;4056752,36487821;3148393,8034311;750774,580025335
"34";9;22;22;33;22;"Regensburg";125676;9;4333639,94744073;4623894,0096549;2730371,88353873;530908,102652387
"35";5;0;60;20;20;"Rome";2872021;4;3791678,38827346;4191994,51283904;2549867,08748585;896219,000101727
"36";10;10;20;40;30;"Bilbao";351356;8;2766957,61373783;4031137,31367752;2545230,36015464;280376,729335168
"37";10;0;20;40;40;"Genoa";592507;9;7305771,49096495;4411664,56013656;2560374,00291706;559797,271697174
