"";"lon";"lat";"type";"loctype";"address";"north";"south";"east";"west";"Location"
"1";11,3305888;46,4825521;"route";"geometric_center";"via werner von siemens, 39100 bolzano bz, italy";46,4835906;46,4800952;11,33595;11,3251574;"via siemens, 39100 bolzano, italy"
"2";11,0232494;44,5054739;"route";"geometric_center";"via confine, vignola mo, italy";44,5071133802915;44,5044154197085;11,0277891;11,0184303;"via confine, 41058 vignola, italy"
"3";13,0640802;47,7886384;"route";"geometric_center";"michael-pacher-straße, 5020 salzburg, austria";47,7901333302915;47,7874353697085;13,0671281;13,061502;"michael pacher strasse, 5020 salzburg, austria"
"4";13,028986;48,2183973;"route";"geometric_center";"lamprechtshausener str., 5282, austria";48,2402203;48,1947909;13,0497418;13,0257065;"lamprechtshausenerstraße, 5282 ranshofen, austria"
"5";14,2913497;48,291837;"route";"geometric_center";"bahnhofpl., 4020 linz, austria";48,293675;48,2893962;14,2935173;14,2885688;"bahnhofplatz, 4021 linz, austria"
"6";13,0438572;47,8131824;"route";"geometric_center";"südtiroler pl., 5020 salzburg, austria";47,8147440802915;47,8120461197085;13,0454861302915;13,0427881697085;"südtiroler platz, 5020 salzburg, austria"
"7";12,9565619;48,8304633;"establishment";"rooftop";"edlmaier straße 4, 94469 deggendorf, germany";48,8318122802915;48,8291143197085;12,9579108802915;12,9552129197085;"edlmairstr., 94469 deggendorf, germany"
"8";14,3203434;48,3351301;"route";"geometric_center";"altenbergerstraße, 4040 linz, austria";48,3393908;48,3294907;14,3259505;14,315727;"altenbergerstrasse, 4040 linz, austria"
"9";10,9038729;47,4065832;"route";"geometric_center";"am rettensee, 6632 ehrwald, austria";47,4077684302915;47,4050704697085;10,9052470802915;10,9025491197085;"am rettensee, 6632 ehrwald, austria"
"10";10,6459187;47,441684;"route";"geometric_center";"mühlbachweg, 6671, austria";47,4431646302915;47,4404666697085;10,6472599;10,6440022;"mühlbachweg, 6671 weißenbach am lech, austria"
"11";14,2861976;48,3059369;"route";"geometric_center";"hauptpl., 4020 linz, austria";48,3073324802915;48,3046345197085;14,2878037802915;14,2851058197085;"hauptplatz, 4020 linz, austria"
