;Programme;Acronym;Project.Partner;Lead.Partner;Street;Postal.code;Town;Country;Website;Department;Legal.Status;Country.Code;NUTS1;NUTS2;NUTS3;Location;lon;lat
1;2007 - 2013 Baltic Sea Region;BGLC;Region of Västerbotten;Yes;Box 443;90109;Umevägen;Sweden;http://eu.baltic.net/Project_Database.5308.html?;NA;NA;SE Sweden / SVERIGE;SE3  / NORRA SVERIGE;SE33  / Övre Norrland;SE331  / Västerbottens län;box 443, 90109 umevägen, sweden;63.828866;20.263361
2;2007 - 2013 Interreg IVC;CLIMACTREGIONS;Regional Council Rhone-Alpes;Yes;Direction de l'Environnement et de l'Energie (D2E) - 78 route de Paris, BP 19;69751;Charbonnières les Bains ;France;http://www.interreg4c.eu/;NA;NA;FR France / FRANCE;FR7  / CENTRE-EST;FR71  / Rhône-Alpes;FR716  / Rhône;direction de l'environnement et de l'energie (d2e) - 78 route de paris, bp 19, 69751 charbonnières les bains cedex, france;45.779346;4.742156
3;2007 - 2013 Interreg IVC;ECREIN+;Regional Council of Rhone-Alpes;Yes;Direction de l'Environnement et de l'Energie (D2E) - 78 route de Paris - BP 19;69751;Charbonnière les Bains ;France;http://www.interreg4c.eu/;NA;NA;FR France / FRANCE;FR7  / CENTRE-EST;FR71  / Rhône-Alpes;FR716  / Rhône;direction de l'environnement et de l'energie (d2e) - 78 route de paris - bp 19, 69751 charbonnière les bains cedex, france;45.009466;3.776946
4;2007 - 2013 Interreg IVC;OSEPA;CENTRAL UNION OF MUNICIPALITIES AND COMUNITIES OF GREECE;Yes;8 GENADIOU ST. & AKADIMIAS ST.;10678;ATHENS;Greece;http://www.interreg4c.eu/;NA;NA;EL Greece / <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (ELLADA);EL3  / ATTIK<U+0397> (ATTIKI);EL30  / Att<U+03B9><U+03BA><U+03AE> (Attiki);EL303  / <U+039A>e<U+03BD>t<U+03C1><U+03B9><U+03BA><U+03CC><U+03C2> <U+03A4><U+03BF>µ<U+03AD>a<U+03C2> <U+0391><U+03B8><U+03B7><U+03BD><U+03CE><U+03BD> (Kentrikos Tomeas Athinon);8 genadiou st. & akadimias st., 10678 athens, greece;37.988579;23.728541
5;2007 - 2013 North Sea Region;LNS;Association of Rivers Trusts;Yes;Drygrange Steading, By Melrose, Roxburghshire;TD6 9DJ;Melrose;United Kingdom;http://archive.northsearegion.eu/ivb/home/;NA;NA;UK United Kingdom / UNITED KINGDOM;UKM  / SCOTLAND;UKM2  / Eastern Scotland;UKM24  / Scottish Borders;drygrange steading, by melrose, roxburghshire, td6 9dj melrose, united kingdom;55.596785;-2.717004
6;2007 - 2013 North Sea Region;e-CME;WORLD MARITIME UNIVERSITY;Yes;;S-20124;Malmo;Sweden;http://www.northsearegion.eu/;NA;NA;SE Sweden / SVERIGE;SE2  / SÖDRA SVERIGE;SE22  / Sydsverige;SE224  / Skåne län;, s-20124 malmo, sweden;55.59438;13.029953
7;2007 - 2013 Northern Periphery;NPNP;Piteå Municipality, Department of Culture and Leisure;Yes;;94185;Pite;Sweden;http://www.northernperiphery.eu/en/projects/show/&tid=68;NA;NA;SE Sweden / SVERIGE;SE3  / NORRA SVERIGE;SE33  / Övre Norrland;SE332  / Norrbottens län;, 94185 pite, sweden;65.859144;19.017205
8;2007 - 2013 Spain - France - Andorra (ES-FR-AD);TECCAS;ECOLE NATIONALE D INGENIEURS (ENI);Yes;"47 avenue d<U+0092>Azereix;";65016;Tarbes;France;http://www.poctefa.eu/;NA;NA;FR France / FRANCE;FR6  / SUD-OUEST;FR62  / Midi-Pyrénées;FR626  / Hautes-Pyrénées;"47 avenue d<U+0092>azereix;, 65016 tarbes, france";43.234675;0.069354
9;2007 - 2013 Spain - France - Andorra (ES-FR-AD);DYNAFOREST;UNION COMMUNES FORESTIERES DU GRAND SUD;Yes;Hôtel Lassus <U+0096> 6 rue du Barry;31210;MONTREJEAU;France;http://www.poctefa.eu/;NA;NA;FR France / FRANCE;FR6  / SUD-OUEST;FR62  / Midi-Pyrénées;FR623  / Haute-Garonne;hôtel lassus <U+0096> 6 rue du barry, 31210 montrejeau, france;43.143628;0.552787
10;2007 - 2013 Spain - External Borders (ES);NAUCAM;Universidad de Las Palmas de Gran Canaria (ULPGC);Yes;Campus de Tafira, Edif. CCEE, D-3.16;35017;Las Palmas de Gran Canaria;Spain;https://www.poctefa.eu/programa/poctefa-2007-2013/;NA;NA;ES Spain / ESPAÑA;ES7  / CANARIAS;ES70  / Canarias;ES705  / Gran Canaria;campus de tafira, edif. ccee, d-3.16, 35017 las palmas de gran canaria, spain;28.115784;-15.439151
11;2007 - 2013 Programme MED;AGROCHEPACK;Municipality of Nigrita;Yes;2 Iroon str.;62200;Negritis;Greece;http://www.programmemed.eu/index.php?id=5175&L=1;NA;NA;EL Greece / <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (ELLADA);EL5  / <U+0392><U+039F><U+03A1><U+0395><U+0399><U+0391> <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (VOREIA ELLADA);EL52  / <U+039A>e<U+03BD>t<U+03C1><U+03B9><U+03BA><U+03AE> <U+039C>a<U+03BA>ed<U+03BF><U+03BD><U+03AF>a (Kentriki Makedonia);EL526  / S<U+03AD><U+03C1><U+03C1>e<U+03C2> (Serres);2 iroon str., 62200 negritis, greece;39.78331;21.708535
12;2007 - 2013 France - Switzerland (FR-CH);Schéma des mobilités de l'Arc jurassien;Conseil régional de Franche-Comté;Yes;Direction des transports,  4 square Castan;25031;Besançon;France;http://www.interreg-francesuisse.org/les-realisations/3412,liste-des-beneficiaires.html;NA;NA;FR France / FRANCE;FR8  / MÉDITERRANÉE;FR81  / Languedoc-Roussillon;FR813  / Hérault;direction des transports,  4 square castan, 25031 besançon, france;47.246152;6.012901
