Programme;Acronym;Project Partner;Lead Partner;Street;Postal code;Town;Country;Website;Department;Legal Status;Country code;NUTS1 (or equivalent);NUTS2 (or equivalent);NUTS3 (or equivalent)
2014 - 2020 INTERREG VB Central Europe;ECRR;Association for Rural Development Thuringia, Erfurt;Yes;Weimarische Straße 29 b;99099;Erfurt;Germany;http://www.interreg-central.eu;Central Division Planning;public;DE Germany / DEUTSCHLAND;DEG  / THÜRINGEN;DEG0  / Thüringen;DEG01  / Erfurt, Kreisfreie Stadt
2014 - 2020 INTERREG VB Central Europe;ENERGY@SCHOOL;Union of Municipalities of Low Romagna Region;Yes;PIAZZA MARTIRI DELLA LIBERA' 1;48022;LUGO;Italy;http://www.interreg-central.eu;;public;IT Italy / ITALIA;ITH  / NORD-EST;ITH5  / Emilia-Romagna;ITH57  / Ravenna
2014 - 2020 INTERREG VB Central Europe;FabLabNet;MUSE – Science Museum;Yes;Corso del Lavoro e della Scienza  3;IT-38122;Trento;Italy;http://www.interreg-central.eu;MUSE FabLab;public;IT Italy / ITALIA;ITH  / NORD-EST;ITH2  / Provincia Autonoma di Trento;ITH20  / Trento
2014 - 2020 INTERREG VB Central Europe;Focus IN CD;Municipality of Maribor;Yes;Ulica heroja Staneta  1;2000;Maribor;Slovenia;http://www.interreg-central.eu;Project development office;public;SI Slovenia / SLOVENIJA;SI0  / SLOVENIJA;SI03  / Vzhodna Slovenija;SI032  / Podravska
2014 - 2020 INTERREG VB Central Europe;GeoPLASMA-CE;Geological Survey of Austria;Yes;Neulinggasse 38;1030;Vienna;Austria;http://www.interreg-central.eu;Department of Hydrogeology and Geothermics;public;AT Austria / ÖSTERREICH;AT1  / OSTÖSTERREICH;AT13  / Wien;AT130  / Wien
2014 - 2020 INTERREG VB Central Europe;I-CON;Pomurje Technology Park;Yes;Plese  9a;9000;Murska Sobota;Slovenia;http://www.interreg-central.eu;;public;SI Slovenia / SLOVENIJA;SI0  / SLOVENIJA;SI03  / Vzhodna Slovenija;SI031  / Pomurska
2014 - 2020 INTERREG VB Central Europe;Dynamic Light;University of Applied Sciences: Technology, Business and Design;Yes;Philipp- Müller- Straße  14;23966;Wismar;Germany;http://www.interreg-central.eu;Faculty of Architecture and Design;public;DE Germany / DEUTSCHLAND;DE8  / MECKLENBURG-VORPOMMERN;DE80  / Mecklenburg-Vorpommern;DE80M  / Nordwestmecklenburg
2014 - 2020 INTERREG VB Central Europe;CROWD-FUND-PORT;E-institute, institute for comprehensive development solutions;Yes;Čučkova 5;2250;Ptuj;Slovenia;http://www.interreg-central.eu;;public;SI Slovenia / SLOVENIJA;SI0  / SLOVENIJA;SI03  / Vzhodna Slovenija;SI032  / Podravska
2014 - 2020 INTERREG VB Central Europe;COME-IN!;Central European Initiative - Executive Secretariat;Yes;via Genova  9;34121;Trieste;Italy;http://www.interreg-central.eu;;public;IT Italy / ITALIA;ITH  / NORD-EST;ITH4  / Friuli-Venezia Giulia;ITH44  / Trieste
2014 - 2020 INTERREG VB Central Europe;CitiEnGov;SIPRO Development Agency-Ferrara;Yes;Via Cairoli 13;44121;Ferrara;Italy;http://www.interreg-central.eu;EU Projects sector;public;IT Italy / ITALIA;ITH  / NORD-EST;ITH5  / Emilia-Romagna;ITH56  / Ferrara
2014 - 2020 INTERREG VB Central Europe;ChemMultimodal;Ministry of Economy, Science and Digitalisation Saxony-Anhalt;Yes;Hasselbachstraße 4;39104;Magdeburg;Germany;http://www.interreg-central.eu;Unit for Foreign Economic Affairs, European Affairs, Development co-operation;public;DE Germany / DEUTSCHLAND;DEE  / SACHSEN-ANHALT;DEE0  / Sachsen-Anhalt;DEE03  / Magdeburg, Kreisfreie Stadt
2014 - 2020 INTERREG VB Central Europe;CERIecon;Vienna Board of Education, European Office;Yes;Auerspergstrasse  15/42;1080;Vienna;Austria;http://www.interreg-central.eu;n/a;public;AT Austria / ÖSTERREICH;AT1  / OSTÖSTERREICH;AT13  / Wien;AT130  / Wien
2014 - 2020 INTERREG VB Central Europe;CE-HEAT;E-institute, insitute for comprehensive development solutions;Yes;Čučkova 5;2250;Ptuj;Slovenia;http://www.interreg-central.eu;;public;SI Slovenia / SLOVENIJA;SI0  / SLOVENIJA;SI03  / Vzhodna Slovenija;SI032  / Podravska
2014 - 2020 INTERREG VB Central Europe;AMIIGA;Central Mining Institute;Yes;Plac Gwarków 1;40-166;Katowice;Poland;http://www.interreg-central.eu;Department of Water Protection;public;PL Poland / POLSKA;PL2  / REGION POŁUDNIOWY;PL22  / Śląskie;PL22A  / Katowicki
2014 - 2020 INTERREG VB Central Europe;3DCentral;IDM Suedtirol Alto Adige;Yes;Via Siemens 19;39100;Bolzano;Italy;http://www.interreg-central.eu;Development;public;IT Italy / ITALIA;ITH  / NORD-EST;ITH1  / Provincia Autonoma di Bolzano/Bozen;ITH10  / Bolzano-Bozen
2014 - 2020 INTERREG VB Central Europe;InduCult2.0;District of Zwickau;Yes;Robert-Müller-Str. 4-8;8056;Zwickau;Germany;http://www.interreg-central.eu;;public;DE Germany / DEUTSCHLAND;DED  / SACHSEN;DED4  / Chemnitz;DED45  / Zwickau
2014 - 2020 INTERREG VB Central Europe;LUMAT;Institute for Ecology of Industrial Areas;Yes;Kossutha 6;40-844;Katowice;Poland;http://www.interreg-central.eu;Department of Environmental Management;public;PL Poland / POLSKA;PL2  / REGION POŁUDNIOWY;PL22  / Śląskie;PL22A  / Katowicki
2014 - 2020 INTERREG VB Central Europe;URBAN INNO;CITY OF RIJEKA;Yes;Korzo  16;51000;Rijeka;Croatia;http://www.interreg-central.eu;Department of Entrepreneurship;public;HR Croatia / HRVATSKA;HR0  / HRVATSKA;HR03  / Jadranska Hrvatska;HR031  / Primorsko-goranska županija
2014 - 2020 INTERREG VB Central Europe;UGB;Municipality of 12th District of Budapest (Hegyvidék);Yes;Böszörményi út 23-25;1126;Budapest;Hungary;http://www.interreg-central.eu;;public;HU Hungary / MAGYARORSZÁG;HU1  / KÖZÉP-MAGYARORSZÁG;HU10  / Közép-Magyarország;HU102  / Pest
2014 - 2020 INTERREG VB Central Europe;TRANS³Net;Technische Universität Dresden;Yes;Helmholtzstraße  10;1069;Dresden;Germany;http://www.interreg-central.eu;Centre for Production Engineering & Organisation (CIMTT);public;DE Germany / DEUTSCHLAND;DED  / SACHSEN;DED2  / Dresden;DED21  / Dresden, Kreisfreie Stadt
2014 - 2020 INTERREG VB Central Europe;TOGETHER;Province of Treviso;Yes;Via Cal di Breda 116;31100;Treviso;Italy;http://www.interreg-central.eu;Real Estate Department;public;IT Italy / ITALIA;ITH  / NORD-EST;ITH3  / Veneto;ITH34  / Treviso
2014 - 2020 INTERREG VB Central Europe;SUSTREE;Federal Research and Training Centre for Forests, Natural Hazards and Landscape;Yes;Seckendorff-Gudent-Weg 8;1131;Vienna;Austria;http://www.interreg-central.eu;;public;AT Austria / ÖSTERREICH;AT1  / OSTÖSTERREICH;AT13  / Wien;AT130  / Wien
2014 - 2020 INTERREG VB Central Europe;SULPiTER;Institute for Transport and Logistics Foundation;Yes;Viale A. Moro 38;40127;Bologna;Italy;http://www.interreg-central.eu;;public;IT Italy / ITALIA;ITH  / NORD-EST;ITH5  / Emilia-Romagna;ITH55  / Bologna
2014 - 2020 INTERREG VB Central Europe;STREFOWA;University of Natural Resources and Life Sciences, Vienna;Yes;Gregor Mendel Straße 33;1180;Vienna;Austria;http://www.interreg-central.eu;"Department of Water, Atmosphere and Environment

Institute of Waste Management";public;AT Austria / ÖSTERREICH;AT1  / OSTÖSTERREICH;AT13  / Wien;AT130  / Wien
2014 - 2020 INTERREG VB Central Europe;SOLEZ;MUNICIPALITY OF VICENZA;Yes;Corso Palladio 98;36100;Vicenza;Italy;http://www.interreg-central.eu;Terrirory Protection and Management Department - Mobility and Transports Unit in collaboration with the European Policies Office;public;IT Italy / ITALIA;ITH  / NORD-EST;ITH3  / Veneto;ITH32  / Vicenza
