"","Name_to_be_Matched","Closest_Match_Found","Index_of_Closest_Match","Max_Jaro_Winkler"
"1","51_Centrum pro komunitní práci západní Čechy_30100","51_Centrum pro komunitní práci západní Cechy_30100",2,0.989023569023569
"2","62_Západočeská univerzita v Plzni_306 14","62_Západoceská univerzita v Plzni_306 14",3,0.9859357696567
"3","127_Město Kašperské Hory_341 92","127_Mesto Kašperské Hory_341 92",4,0.950924688057041
"4","CBCMC_Kölcsey Televízió Műsorszolgáltató Nonprofit Kft._4400","CBCMC_Kölcsey Televízió Musorszolgáltató Nonprofit Kft._4400",5,0.990862470862471
"5","FORBEST_Szirmabesenyő Nagyközség Önkormányzata_3711","FORBEST_Szirmabesenyo Nagyközség Önkormányzata_3711",6,0.955887445887446
"6","Without borders and barriers_Mozgáskorlátozottak Egymást Segítők Egyesülete_3100","Without borders and barriers_Mozgáskorlátozottak Egymást Segítok Egyesülete_3100",7,0.992995896032832
"7","Silver economy_Rába - Duna - Vág Korlátolt Felelősségű Európai Területi Társulás_2800","Silver economy_Rába - Duna - Vág Korlátolt Felelosségu Európai Területi Társulás_2800",8,0.958706443528175
"8","Safety First!_Municipal authority ""Ventspils Digital centre""_LV - 3601","Safety First!_""Municipal authority """"Ventspils Digital centre""""""_LV - 3601",9,0.923474903474903
"9","From theory to practice - sustainable use of natural heritage in Ełk and Birštonas_Elk County_19-300","From theory to practice - sustainable use of natural heritage in Elk and Birštonas_Elk County_19-300",10,0.984098233352747
"10","Strengthening the resources of fire protection in cross-border region_Dąbrowa Białostocka municipality_16-200","Strengthening the resources of fire protection in cross-border region_Dabrowa Bialostocka municipality_16-200",11,0.966998556998557
"11","Cooperation for social inclusion ""If hands could speak...""_House of Lithanian Culture in Punsk_16-515","""Cooperation for social inclusion """"If hands could speak...""""""_House of Lithanian Culture in Punsk_16-515",12,0.898192676410498
"12","Improvement of health care for children in Lithuanian and Polish border region_J.Śniadecki Voivodship Polyclinical Hospital in Białystok_PL 15-950","Improvement of health care for children in Lithuanian and Polish border region_J.Sniadecki Voivodship Polyclinical Hospital in Bialystok_PL 15-950",13,0.991854868567197
"13","Be active - be healthy_Alytus kindergarten ""Girinukas""_62172","Be active - be healthy_""Alytus kindergarten """"Girinukas""""""_62172",14,0.9375
"14","Joint Lithuanian – Polish improvement of public service of fire and rescue_Šilalės Region Municipality Fire Fighting Department_LT-75137","Joint Lithuanian – Polish improvement of public service of fire and rescue_Šilales Region Municipality Fire Fighting Department_LT-75137",15,0.963819950250979
"15","Improving social care service provision and infrastructure for youth in Elektrėnai and Filipow_Elektrėnai municipality administration_LT-26110","Improving social care service provision and infrastructure for youth in Elektrenai and Filipow_Elektrenai municipality administration_LT-26110",16,0.978770400178851
"16","Wdrażanie mikroprojektów z zakresu edukacji w Euroregionie Karpackim i WJT w Preszowie_Stowarzyszenie Euroregion Karpacki Polska_35-959","Wdrazanie mikroprojektów z zakresu edukacji w Euroregionie Karpackim i WJT w Preszowie_Stowarzyszenie Euroregion Karpacki Polska_35-959",17,0.927461555587361
"17","Zlepšenie napojenia do infraštruktúry TEN-T cez obce Rajcza a Oščadnica_Obec Oščadnica_023 01","Zlepšenie napojenia do infraštruktúry TEN-T cez obce Rajcza a Ošcadnica_Obec Ošcadnica_023 01",18,0.967085034013605
"18","Wspólne kształcenie zawodowe na pograniczu polsko-słowackim_ZWIĄZEK EUROREGION „TATRY”_34-400","Wspólne ksztalcenie zawodowe na pograniczu polsko-slowackim_ZWIAZEK EUROREGION „TATRY”_34-400",19,0.927259520796333
"19","JЕSTCULT_Ministrу оf Culturе оf Bulgаriа (MC BG)_1040","J<U+0415>STCULT_Ministr<U+0443> <U+043E>f Cultur<U+0435> <U+043E>f Bulg<U+0430>ri<U+0430> (MC BG)_1040",20,0.621815856777494
"20","Modernization a voivodeship road no. 351, section between Pieńsk and Jędrzychowice, including Bolesławicka Street and Dr. Kahlbaum Avenue in Görlitz_WOJEWÓDZTWO DOLNOŚLĄSKIE REPREZENTOWANE PRZEZ DOLNOŚLĄSKĄ SŁUŻBĘ DRÓG I KOLEI WE WROCŁAWIU_50-425","Modernization a voivodeship road no. 351, section between Piensk and Jedrzychowice, including Boleslawicka Street and Dr. Kahlbaum Avenue in Görlitz_WOJEWÓDZTWO DOLNOSLASKIE REPREZENTOWANE PRZEZ DOLNOSLASKA SLUZBE DRÓG I KOLEI WE WROCLAWIU_50-425",21,0.912898911227625
"21","Preservation and promotion of geological values of the Muskau Bend and the post-glacial valley of the Green Forest, and strengthening the cooperation between the cities of Żary and Weißwasser_GMINA ŻARY O STATUSIE MIEJSKIM_68-200","Preservation and promotion of geological values of the Muskau Bend and the post-glacial valley of the Green Forest, and strengthening the cooperation between the cities of Zary and Weißwasser_GMINA ZARY O STATUSIE MIEJSKIM_68-200",22,0.994812593703148
"22","Cross-border education in a green class for a better future_GIMNAZJUM W ZESPOLE SZKÓŁ Z ODDZIAŁAMI INTEGRACYJNYMI W ŁOMNICY_58-508","Cross-border education in a green class for a better future_GIMNAZJUM W ZESPOLE SZKÓL Z ODDZIALAMI INTEGRACYJNYMI W LOMNICY_58-508",23,0.986464623447647
"23","No for drugs_KOMENDA WOJEWÓDZKA POLICJI WE WROCŁAWIU_50-040","No for drugs_KOMENDA WOJEWÓDZKA POLICJI WE WROCLAWIU_50-040",24,0.990109289617486
"24","CLIMATIC TOWN_WOJEWÓDZTWO DOLNOŚLĄSKIE – URZĄD MARSZAŁKOWSKI WOJEWÓDZTWA DOLNOŚLĄSKIEGO_50-411","CLIMATIC TOWN_WOJEWÓDZTWO DOLNOSLASKIE – URZAD MARSZALKOWSKI WOJEWÓDZTWA DOLNOSLASKIEGO_50-411",25,0.912504265920415
