"Programme";"Acronym";"Project.Partner";"Lead.Partner";"Street";"Postal.code";"Town";"Country";"Website";"Department";"Legal.Status";"Country.code";"NUTS1..or.equivalent.";"NUTS2..or.equivalent.";"NUTS3..or.equivalent.";"location";"Postal.code2";"location2";"osm_id";"osm_type";"name";"housenumber";"street";"postcode";"city";"state";"country.x";"osm_key";"osm_value";"lon.x";"lat.x";"msg";"lon.y";"lat.y";"type";"loctype";"north";"south";"east";"west";"locality";"country.y";"postal_code";"administrative_area_level_1";"SourceGeoCode";"TownLowerCase";"CountrySimplified";"CountryGeoCode";"CountryGeocodeSimplified"
"2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic)";"WATERCHAIN";"Satakunta University of Applied Sciences";"Yes";"Tiedepuisto";"FI-28600";"Pori";"Finland";"centralbaltic.eu/projects";"Faculty of Energy and Construction/ WANDER Nordic Water and Materials Institute";"public";"FI Finland / SUOMI / FINLAND";"FI1  / MANNER-SUOMI";"FI19  / Länsi-Suomi";"FI196  / Satakunta";"FI-28600, Pori, Finland";"FI-28600";"Pori, Finland";"292835602";"W";"Finland Street";NA;NA;"15224";"Pittsburgh";"Pennsylvania";"United States of America";"highway";"residential";-79,9606161;40,4580276;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"pori";"Finland";"United States of America";"United States of America"
"2014 - 2020 INTERREG VB South West Europe";"INTER-TEX";"Igualada Town Hall";"Yes";"Plaça de l'Ajuntament, 1";"8700";"Igualada";"Spain";"http://www.intertex-sudoe.eu/";"";"Public";"ES Spain / ESPAÑA";"ES5  / ESTE";"ES51  / Cataluña";"ES511  / Barcelona";"8700, Igualada, Spain";"8700";"Igualada, Spain";"3396816351";"N";"Spannacker";NA;NA;"8705";NA;"Thurgau";"Switzerland";"place";"hamlet";8,9481361;47,654466;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"igualada";"Spain";"Switzerland";"Switzerland"
"2007 - 2013 South East Europe";"SNAP-SEE";"University in Leoben";"Yes";"18 Franz-Josef-Strasse";"2700";"Leoben";"Austria";"http://www.southeast-europe.net/hu/";"";"";"AT Austria / ÖSTERREICH";"AT2  / SÜDÖSTERREICH";"AT22  / Steiermark";"AT223  / Östliche Obersteiermark";"2700, Leoben, Austria";"2700";"Leoben, Austria";"182237012";"W";"Leoben Court";NA;NA;"0812";"Darwin";"Northern Territory";"Australia";"highway";"residential";130,9209852;-12,4065049;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"leoben";"Austria";"Australia";"Australia"
"2007 - 2013 South West Europe";"CREA- BUSINESS-IDEA";"Agencia de Desarrollo Económico Regional de la Rioja - ADER";"Yes";"Muro de la Mata 13-14";"26071";"Logroño";"Spain";"http://www.creabusinessidea.com";"";"";"ES Spain / ESPAÑA";"ES2  / NORESTE";"ES23  / La Rioja";"ES230  / La Rioja";"26071, Logroño, Spain";"26071";"Logroño, Spain";"12815848";"W";"Logrono Lane";NA;NA;"71909";"Hot Springs Village";"Arkansas";"United States of America";"highway";"residential";-93,0137754;34,6651673;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"logroño";"Spain";"United States of America";"United States of America"
"2007 - 2013 South West Europe";"CREA NET 2 0";"Agencia de Desarrollo Económico Regional de la Rioja - ADER";"Yes";"";"26071";"Logroño";"Spain";"http://4.interreg-sudoe.eu/ESP/f/138/Los-Proyectos-SUDOE/Los-proyectos-aprobados";"";"";"ES Spain / ESPAÑA";"ES2  / NORESTE";"ES23  / La Rioja";"ES230  / La Rioja";"26071, Logroño, Spain";"26071";"Logroño, Spain";"12815848";"W";"Logrono Lane";NA;NA;"71909";"Hot Springs Village";"Arkansas";"United States of America";"highway";"residential";-93,0137754;34,6651673;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"logroño";"Spain";"United States of America";"United States of America"
"2007 - 2013 Northern Periphery";"NPNP";"Piteå Municipality, Department of Culture and Leisure";"Yes";"";"94185";"Pite";"Sweden";"http://www.northernperiphery.eu/en/projects/show/&tid=68";"";"";"SE Sweden / SVERIGE";"SE3  / NORRA SVERIGE";"SE33  / Övre Norrland";"SE332  / Norrbottens län";"94185, Pite, Sweden";"94185";"Pite, Sweden";"18201305";"W";"Sweden Street";NA;NA;"56170";"Ruthton";"Minnesota";"United States of America";"highway";"service";-96,1018901;44,1800596;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"pite";"Sweden";"United States of America";"United States of America"
"2007 - 2013 Spain - Portugal (ES-PT)";"0536_PROAMARE_1_E";"Diputación de Pontevedra";"Yes";"CENTRO PRÍNCIPE FELIPE. AVENIDA DE MONTECELO, 12";"36071";"PONTEVEDRA";"Spain";"http://www.poctep.eu/index.php?modulo=proyectos_aprobados";"";"";"ES Spain / ESPAÑA";"ES1  / NOROESTE";"ES11  / Galicia";"ES114  / Pontevedra";"36071, PONTEVEDRA, Spain";"36071";"PONTEVEDRA, Spain";"12815398";"W";"Pontevedra Circle";NA;NA;"71909";"Hot Springs Village";"Arkansas";"United States of America";"highway";"residential";-93,0070236;34,670698;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"pontevedra";"Spain";"United States of America";"United States of America"
"2007 - 2013 Spain - Portugal (ES-PT)";"0432_I2TEP_5_E";"Universidad de Huelva";"Yes";"C/ Dr. Cantero Cuadrado, 6";"21071";"HUELVA";"Spain";"http://www.poctep.eu/index.php?modulo=proyectos_aprobados";"";"";"ES Spain / ESPAÑA";"ES6  / SUR";"ES61  / Andalucía";"ES615  / Huelva";"21071, HUELVA, Spain";"21071";"HUELVA, Spain";"12816597";"W";"Huelva Road";NA;NA;"71900";"Hot Springs Village";"Arkansas";"United States of America";"highway";"residential";-93,0338896;34,6645016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"huelva";"Spain";"United States of America";"United States of America"
"2007 - 2013 Spain - Portugal (ES-PT)";"0343_G_MAS_A_5_E";"Diputacion de Huelva";"Yes";"Ctra. Sevilla-Huelva Km. 630 Antiguo Hospital Psiquiátrico";"21007";"HUELVA";"Spain";"http://www.poctep.eu/index.php?modulo=proyectos_aprobados";"";"";"ES Spain / ESPAÑA";"ES6  / SUR";"ES61  / Andalucía";"ES615  / Huelva";"21007, HUELVA, Spain";"21007";"HUELVA, Spain";"12816597";"W";"Huelva Road";NA;NA;"71900";"Hot Springs Village";"Arkansas";"United States of America";"highway";"residential";-93,0338896;34,6645016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"huelva";"Spain";"United States of America";"United States of America"
"2007 - 2013 Spain - Portugal (ES-PT)";"0381_CONCAN_5_E";"Asociación Española Contra el Cáncer";"Yes";"C/ Isaac Peral, 16, Bajo Izq.";"21002";"HUELVA";"Spain";"http://www.poctep.eu/index.php?modulo=proyectos_aprobados";"";"";"ES Spain / ESPAÑA";"ES6  / SUR";"ES61  / Andalucía";"ES615  / Huelva";"21002, HUELVA, Spain";"21002";"HUELVA, Spain";"12816597";"W";"Huelva Road";NA;NA;"71900";"Hot Springs Village";"Arkansas";"United States of America";"highway";"residential";-93,0338896;34,6645016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"huelva";"Spain";"United States of America";"United States of America"
"2007 - 2013 Spain - Portugal (ES-PT)";"0042_RISE_5_E";"Universidad de Huelva";"Yes";"C/ Dr. Cantero Cuadrado, 6";"21071";"HUELVA";"Spain";"http://www.poctep.eu/";"";"";"ES Spain / ESPAÑA";"ES6  / SUR";"ES61  / Andalucía";"ES615  / Huelva";"21071, HUELVA, Spain";"21071";"HUELVA, Spain";"12816597";"W";"Huelva Road";NA;NA;"71900";"Hot Springs Village";"Arkansas";"United States of America";"highway";"residential";-93,0338896;34,6645016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"huelva";"Spain";"United States of America";"United States of America"
"2007 - 2013 Spain - Portugal (ES-PT)";"0054_URT_4_E";"Ayuntamiento de Mérida";"Yes";"C/ John Lennon nº 5";"6800";"Mérida";"Spain";"http://www.poctep.eu/index.php?modulo=proyectos_aprobados";"";"";"ES Spain / ESPAÑA";"ES4  / CENTRO (ES)";"ES43  / Extremadura";"ES431  / Badajoz";"6800, Mérida, Spain";"6800";"Mérida, Spain";"703523383";"N";"Merida";NA;NA;"687031";NA;"Santander";"Colombia";"place";"locality";-73,6182198;7,1598995;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"mérida";"Spain";"Colombia";"Colombia"
"2007 - 2013 Spain - Portugal (ES-PT)";"0057_DEMETER_4_E";"Junta de Extremadura - Consejería de Agricultura y Desarrollo Rural - DG de Desarrollo Rural";"Yes";"Avda. de Portugal s/n";"6800";"Mérida";"Spain";"http://www.poctep.eu/index.php?modulo=proyectos_aprobados";"";"";"ES Spain / ESPAÑA";"ES4  / CENTRO (ES)";"ES43  / Extremadura";"ES431  / Badajoz";"6800, Mérida, Spain";"6800";"Mérida, Spain";"703523383";"N";"Merida";NA;NA;"687031";NA;"Santander";"Colombia";"place";"locality";-73,6182198;7,1598995;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"mérida";"Spain";"Colombia";"Colombia"
"2007 - 2013 Spain - Portugal (ES-PT)";"0312_GIT_ACE_IV_4_E";"Junta de Extremadura - Vicepresidencia Primera - DG Acción Exterior";"Yes";"C/ Juan Pablo Forner nº 1, 2ª planta";"6200";"Mérida";"Spain";"http://www.poctep.eu/";"";"";"ES Spain / ESPAÑA";"ES4  / CENTRO (ES)";"ES43  / Extremadura";"ES431  / Badajoz";"6200, Mérida, Spain";"6200";"Mérida, Spain";"1554474246";"N";"Mérida";NA;NA;"62100";NA;"Sancti Spiritus";"Cuba";"place";"hamlet";-79,2054126;22,190789;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"mérida";"Spain";"Cuba";"Cuba"
"2007 - 2013 Spain - Portugal (ES-PT)";"0317_ALTERCEXA_4_E";"Junta de Extremadura - Consejería de Industria, Energía y Medio Ambiente - DG Evaluación y Calidad Ambiental";"Yes";"Carretera de Portugal s/n";"6800";"Mérida";"Spain";"http://www.poctep.eu/index.php?modulo=proyectos_aprobados";"";"";"ES Spain / ESPAÑA";"ES4  / CENTRO (ES)";"ES43  / Extremadura";"ES431  / Badajoz";"6800, Mérida, Spain";"6800";"Mérida, Spain";"703523383";"N";"Merida";NA;NA;"687031";NA;"Santander";"Colombia";"place";"locality";-73,6182198;7,1598995;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"mérida";"Spain";"Colombia";"Colombia"
"2007 - 2013 Spain - Portugal (ES-PT)";"0662_RAT_PC_II_4_E";"Dirección General de Administración Local, Justicia e Interior. Consejería de Administración Pública. Junta de Extremadura";"Yes";"";"6800";"Mérida";"Spain";"http://www.poctep.eu/";"";"";"ES Spain / ESPAÑA";"ES3  / COMUNIDAD DE MADRID";"ES30  / Comunidad de Madrid";"ES300  / Madrid";"6800, Mérida, Spain";"6800";"Mérida, Spain";"703523383";"N";"Merida";NA;NA;"687031";NA;"Santander";"Colombia";"place";"locality";-73,6182198;7,1598995;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"mérida";"Spain";"Colombia";"Colombia"
"2007 - 2013 Spain - France - Andorra (ES-FR-AD)";"IRATI";"JUNTA GENERAL DEL VALLE DE SALAZAR";"Yes";"Casa del Valle - C/ Rochapea 16 -";"31690";"EZCAROZ";"Spain";"http://www.iraty.eu";"";"";"ES Spain / ESPAÑA";"ES2  / NORESTE";"ES22  / Comunidad Foral de Navarra";"ES220  / Navarra";"31690, EZCAROZ, Spain";"31690";"EZCAROZ, Spain";"9375755";"W";"Spain Drive";NA;NA;"31602";"Mineola";"Georgia";"United States of America";"highway";"residential";-83,341468;30,906839;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"ezcaroz";"Spain";"United States of America";"United States of America"
"2007 - 2013 Spain - External Borders (ES)";"ECOMEMI";"Fundación Centro Tecnológico Andaluz de la Piedra (Fundación CTAP)";"Yes";"Ctra. Olula del Río-Macael, Km. 1.7";"4867";"Macael";"Spain";"https://www.poctefa.eu/programa/poctefa-2007-2013/";"";"";"ES Spain / ESPAÑA";"ES6  / SUR";"ES61  / Andalucía";"ES611  / Almería";"4867, Macael, Spain";"4867";"Macael, Spain";"8733005";"W";"Spain Court";NA;NA;"48174";"Romulus";"Michigan";"United States of America";"highway";"residential";-83,333521;42,191204;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"macael";"Spain";"United States of America";"United States of America"
"2007 - 2013 Spain - External Borders (ES)";"RECICLA";"Cabildo Insular de Tenerife";"Yes";"Pabellón Insular Santiago Martín. Calle Las Macetas, s/n (Los Majuelos)";"38108";"La Laguna";"Spain";"https://www.poctefa.eu/programa/poctefa-2007-2013/";"";"";"ES Spain / ESPAÑA";"ES7  / CANARIAS";"ES70  / Canarias";"ES709  / Tenerife";"38108, La Laguna, Spain";"38108";"La Laguna, Spain";"376067621";"W";"Laguna Salada Spring";NA;NA;NA;NA;"Arizona";"United States of America";"waterway";"stream";-109,723789158253;34,33830625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"la laguna";"Spain";"United States of America";"United States of America"
